{'Mean Episode Return': Array(13.174143, dtype=float32), 'Mean Episode Length': Array(40.941082, dtype=float32)} step=1484800
{'Mean Episode Return': Array(13.251426, dtype=float32), 'Mean Episode Length': Array(40.688786, dtype=float32)} step=1536000
{'Mean Episode Return': Array(13.446651, dtype=float32), 'Mean Episode Length': Array(40.892914, dtype=float32)} step=1587200
{'Mean Episode Return': Array(13.642481, dtype=float32), 'Mean Episode Length': Array(41.176563, dtype=float32)} step=1638400
{'Mean Episode Return': Array(13.643789, dtype=float32), 'Mean Episode Length': Array(40.94964, dtype=float32)} step=1689600
{'Mean Episode Return': Array(13.934039, dtype=float32), 'Mean Episode Length': Array(40.82619, dtype=float32)} step=1740800
{'Mean Episode Return': Array(13.954092, dtype=float32), 'Mean Episode Length': Array(41.042065, dtype=float32)} step=1792000
{'Mean Episode Return': Array(14.073661, dtype=float32), 'Mean Episode Length': Array(40.699444, dtype=float32)} step=1843200
{'Mean Episode Return': Array(14.21066, dtype=float32), 'Mean Episode Length': Array(40.63766, dtype=float32)} step=1894400
{'Mean Episode Return': Array(14.285658, dtype=float32), 'Mean Episode Length': Array(40.710297, dtype=float32)} step=1945600
{'Mean Episode Return': Array(14.323134, dtype=float32), 'Mean Episode Length': Array(39.904247, dtype=float32)} step=1996800
{'Mean Episode Return': Array(14.244239, dtype=float32), 'Mean Episode Length': Array(41.190857, dtype=float32)} step=2048000
{'Mean Episode Return': Array(14.428539, dtype=float32), 'Mean Episode Length': Array(41.00811, dtype=float32)} step=2099200
{'Mean Episode Return': Array(14.361594, dtype=float32), 'Mean Episode Length': Array(41.641804, dtype=float32)} step=2150400
{'Mean Episode Return': Array(14.6012945, dtype=float32), 'Mean Episode Length': Array(40.52212, dtype=float32)} step=2201600
{'Mean Episode Return': Array(14.606929, dtype=float32), 'Mean Episode Length': Array(41.684975, dtype=float32)} step=2252800
{'Mean Episode Return': Array(14.590046, dtype=float32), 'Mean Episode Length': Array(42.30763, dtype=float32)} step=2304000
{'Mean Episode Return': Array(14.684618, dtype=float32), 'Mean Episode Length': Array(40.886475, dtype=float32)} step=2355200
{'Mean Episode Return': Array(14.790704, dtype=float32), 'Mean Episode Length': Array(41.948612, dtype=float32)} step=2406400
{'Mean Episode Return': Array(14.777738, dtype=float32), 'Mean Episode Length': Array(41.792572, dtype=float32)} step=2457600
{'Mean Episode Return': Array(14.943885, dtype=float32), 'Mean Episode Length': Array(42.209866, dtype=float32)} step=2508800
{'Mean Episode Return': Array(14.97617, dtype=float32), 'Mean Episode Length': Array(41.855846, dtype=float32)} step=2560000
{'Mean Episode Return': Array(15.237238, dtype=float32), 'Mean Episode Length': Array(41.711475, dtype=float32)} step=2611200
{'Mean Episode Return': Array(15.154376, dtype=float32), 'Mean Episode Length': Array(43.02385, dtype=float32)} step=2662400
{'Mean Episode Return': Array(15.242733, dtype=float32), 'Mean Episode Length': Array(41.986588, dtype=float32)} step=2713600
{'Mean Episode Return': Array(15.229674, dtype=float32), 'Mean Episode Length': Array(42.072655, dtype=float32)} step=2764800
{'Mean Episode Return': Array(15.3182125, dtype=float32), 'Mean Episode Length': Array(42.73967, dtype=float32)} step=2816000
{'Mean Episode Return': Array(15.324149, dtype=float32), 'Mean Episode Length': Array(42.637287, dtype=float32)} step=2867200
{'Mean Episode Return': Array(15.392137, dtype=float32), 'Mean Episode Length': Array(43.0402, dtype=float32)} step=2918400
{'Mean Episode Return': Array(15.46339, dtype=float32), 'Mean Episode Length': Array(42.157375, dtype=float32)} step=2969600
{'Mean Episode Return': Array(15.507283, dtype=float32), 'Mean Episode Length': Array(42.52971, dtype=float32)} step=3020800
{'Mean Episode Return': Array(15.591832, dtype=float32), 'Mean Episode Length': Array(42.854755, dtype=float32)} step=3072000
{'Mean Episode Return': Array(15.651911, dtype=float32), 'Mean Episode Length': Array(43.04746, dtype=float32)} step=3123200
{'Mean Episode Return': Array(15.793604, dtype=float32), 'Mean Episode Length': Array(42.450497, dtype=float32)} step=3174400
