{'Mean Episode Return': Array(10.089435, dtype=float32), 'Mean Episode Length': Array(42.231884, dtype=float32)} step=1484800
{'Mean Episode Return': Array(10.436433, dtype=float32), 'Mean Episode Length': Array(42.067993, dtype=float32)} step=1536000
{'Mean Episode Return': Array(10.6084, dtype=float32), 'Mean Episode Length': Array(42.106995, dtype=float32)} step=1587200
{'Mean Episode Return': Array(10.967921, dtype=float32), 'Mean Episode Length': Array(42.25123, dtype=float32)} step=1638400
{'Mean Episode Return': Array(11.307279, dtype=float32), 'Mean Episode Length': Array(42.75063, dtype=float32)} step=1689600
{'Mean Episode Return': Array(11.502698, dtype=float32), 'Mean Episode Length': Array(42.12189, dtype=float32)} step=1740800
{'Mean Episode Return': Array(11.727379, dtype=float32), 'Mean Episode Length': Array(42.22838, dtype=float32)} step=1792000
{'Mean Episode Return': Array(11.9458885, dtype=float32), 'Mean Episode Length': Array(41.92655, dtype=float32)} step=1843200
{'Mean Episode Return': Array(12.012209, dtype=float32), 'Mean Episode Length': Array(43.056267, dtype=float32)} step=1894400
{'Mean Episode Return': Array(12.289353, dtype=float32), 'Mean Episode Length': Array(42.55938, dtype=float32)} step=1945600
{'Mean Episode Return': Array(12.569312, dtype=float32), 'Mean Episode Length': Array(43.093746, dtype=float32)} step=1996800
{'Mean Episode Return': Array(12.542253, dtype=float32), 'Mean Episode Length': Array(42.272728, dtype=float32)} step=2048000
{'Mean Episode Return': Array(12.677666, dtype=float32), 'Mean Episode Length': Array(43.100246, dtype=float32)} step=2099200
{'Mean Episode Return': Array(12.838182, dtype=float32), 'Mean Episode Length': Array(43.263783, dtype=float32)} step=2150400
{'Mean Episode Return': Array(13.078334, dtype=float32), 'Mean Episode Length': Array(42.749374, dtype=float32)} step=2201600
{'Mean Episode Return': Array(13.248832, dtype=float32), 'Mean Episode Length': Array(43.447433, dtype=float32)} step=2252800
{'Mean Episode Return': Array(13.503189, dtype=float32), 'Mean Episode Length': Array(43.37966, dtype=float32)} step=2304000
{'Mean Episode Return': Array(13.567278, dtype=float32), 'Mean Episode Length': Array(43.923145, dtype=float32)} step=2355200
{'Mean Episode Return': Array(13.6770525, dtype=float32), 'Mean Episode Length': Array(44.093616, dtype=float32)} step=2406400
{'Mean Episode Return': Array(14.021634, dtype=float32), 'Mean Episode Length': Array(43.64135, dtype=float32)} step=2457600
{'Mean Episode Return': Array(14.080612, dtype=float32), 'Mean Episode Length': Array(43.821766, dtype=float32)} step=2508800
{'Mean Episode Return': Array(14.201072, dtype=float32), 'Mean Episode Length': Array(43.29639, dtype=float32)} step=2560000
{'Mean Episode Return': Array(14.242083, dtype=float32), 'Mean Episode Length': Array(43.621185, dtype=float32)} step=2611200
{'Mean Episode Return': Array(14.481926, dtype=float32), 'Mean Episode Length': Array(43.302364, dtype=float32)} step=2662400
{'Mean Episode Return': Array(14.412658, dtype=float32), 'Mean Episode Length': Array(43.158245, dtype=float32)} step=2713600
{'Mean Episode Return': Array(14.578947, dtype=float32), 'Mean Episode Length': Array(43.383503, dtype=float32)} step=2764800
{'Mean Episode Return': Array(14.730945, dtype=float32), 'Mean Episode Length': Array(43.11053, dtype=float32)} step=2816000
{'Mean Episode Return': Array(14.754809, dtype=float32), 'Mean Episode Length': Array(43.72998, dtype=float32)} step=2867200
{'Mean Episode Return': Array(14.900349, dtype=float32), 'Mean Episode Length': Array(43.827763, dtype=float32)} step=2918400
{'Mean Episode Return': Array(14.923843, dtype=float32), 'Mean Episode Length': Array(44.146782, dtype=float32)} step=2969600
{'Mean Episode Return': Array(15.063339, dtype=float32), 'Mean Episode Length': Array(44.3006, dtype=float32)} step=3020800
{'Mean Episode Return': Array(15.111993, dtype=float32), 'Mean Episode Length': Array(44.79894, dtype=float32)} step=3072000
{'Mean Episode Return': Array(15.360804, dtype=float32), 'Mean Episode Length': Array(45.661278, dtype=float32)} step=3123200
{'Mean Episode Return': Array(15.607577, dtype=float32), 'Mean Episode Length': Array(45.040108, dtype=float32)} step=3174400
{'Mean Episode Return': Array(15.703958, dtype=float32), 'Mean Episode Length': Array(45.519653, dtype=float32)} step=3225600
{'Mean Episode Return': Array(15.876858, dtype=float32), 'Mean Episode Length': Array(45.587387, dtype=float32)} step=3276800
{'Mean Episode Return': Array(15.8706875, dtype=float32), 'Mean Episode Length': Array(45.668163, dtype=float32)} step=3328000
