{'Mean Episode Return': Array(8.13621, dtype=float32), 'Mean Episode Length': Array(44.053165, dtype=float32)} step=2662400
{'Mean Episode Return': Array(8.484101, dtype=float32), 'Mean Episode Length': Array(43.988457, dtype=float32)} step=2713600
{'Mean Episode Return': Array(8.424381, dtype=float32), 'Mean Episode Length': Array(44.35841, dtype=float32)} step=2764800
{'Mean Episode Return': Array(8.713173, dtype=float32), 'Mean Episode Length': Array(43.75085, dtype=float32)} step=2816000
{'Mean Episode Return': Array(8.833554, dtype=float32), 'Mean Episode Length': Array(43.184383, dtype=float32)} step=2867200
{'Mean Episode Return': Array(9.030599, dtype=float32), 'Mean Episode Length': Array(43.358257, dtype=float32)} step=2918400
{'Mean Episode Return': Array(8.989133, dtype=float32), 'Mean Episode Length': Array(44.482395, dtype=float32)} step=2969600
{'Mean Episode Return': Array(9.17868, dtype=float32), 'Mean Episode Length': Array(44.630623, dtype=float32)} step=3020800
{'Mean Episode Return': Array(9.36136, dtype=float32), 'Mean Episode Length': Array(44.737026, dtype=float32)} step=3072000
{'Mean Episode Return': Array(9.444606, dtype=float32), 'Mean Episode Length': Array(44.997314, dtype=float32)} step=3123200
{'Mean Episode Return': Array(9.441441, dtype=float32), 'Mean Episode Length': Array(44.38671, dtype=float32)} step=3174400
{'Mean Episode Return': Array(9.485127, dtype=float32), 'Mean Episode Length': Array(44.25955, dtype=float32)} step=3225600
{'Mean Episode Return': Array(9.7605, dtype=float32), 'Mean Episode Length': Array(43.87436, dtype=float32)} step=3276800
{'Mean Episode Return': Array(9.32508, dtype=float32), 'Mean Episode Length': Array(43.789703, dtype=float32)} step=3328000
{'Mean Episode Return': Array(9.100369, dtype=float32), 'Mean Episode Length': Array(44.36277, dtype=float32)} step=3379200
{'Mean Episode Return': Array(9.660594, dtype=float32), 'Mean Episode Length': Array(44.11424, dtype=float32)} step=3430400
{'Mean Episode Return': Array(9.360202, dtype=float32), 'Mean Episode Length': Array(44.085316, dtype=float32)} step=3481600
{'Mean Episode Return': Array(9.013314, dtype=float32), 'Mean Episode Length': Array(45.8886, dtype=float32)} step=3532800
{'Mean Episode Return': Array(9.855188, dtype=float32), 'Mean Episode Length': Array(43.805317, dtype=float32)} step=3584000
{'Mean Episode Return': Array(10.085381, dtype=float32), 'Mean Episode Length': Array(43.712914, dtype=float32)} step=3635200
{'Mean Episode Return': Array(10.241496, dtype=float32), 'Mean Episode Length': Array(44.42687, dtype=float32)} step=3686400
{'Mean Episode Return': Array(10.556396, dtype=float32), 'Mean Episode Length': Array(43.773323, dtype=float32)} step=3737600
{'Mean Episode Return': Array(10.65238, dtype=float32), 'Mean Episode Length': Array(44.30171, dtype=float32)} step=3788800
{'Mean Episode Return': Array(10.602023, dtype=float32), 'Mean Episode Length': Array(44.511364, dtype=float32)} step=3840000
{'Mean Episode Return': Array(11.049217, dtype=float32), 'Mean Episode Length': Array(44.717678, dtype=float32)} step=3891200
{'Mean Episode Return': Array(10.651786, dtype=float32), 'Mean Episode Length': Array(45.21836, dtype=float32)} step=3942400
{'Mean Episode Return': Array(10.939494, dtype=float32), 'Mean Episode Length': Array(44.519447, dtype=float32)} step=3993600
{'Mean Episode Return': Array(11.122428, dtype=float32), 'Mean Episode Length': Array(44.905228, dtype=float32)} step=4044800
{'Mean Episode Return': Array(10.990249, dtype=float32), 'Mean Episode Length': Array(44.84881, dtype=float32)} step=4096000
{'Mean Episode Return': Array(10.0135975, dtype=float32), 'Mean Episode Length': Array(44.81036, dtype=float32)} step=4147200
{'Mean Episode Return': Array(7.6033196, dtype=float32), 'Mean Episode Length': Array(42.40332, dtype=float32)} step=4198400
{'Mean Episode Return': Array(5.942481, dtype=float32), 'Mean Episode Length': Array(41.72876, dtype=float32)} step=4249600
{'Mean Episode Return': Array(5.758029, dtype=float32), 'Mean Episode Length': Array(41.438946, dtype=float32)} step=4300800
{'Mean Episode Return': Array(6.520346, dtype=float32), 'Mean Episode Length': Array(41.414574, dtype=float32)} step=4352000
{'Mean Episode Return': Array(6.764751, dtype=float32), 'Mean Episode Length': Array(42.71681, dtype=float32)} step=4403200
{'Mean Episode Return': Array(7.1153674, dtype=float32), 'Mean Episode Length': Array(42.415703, dtype=float32)} step=4454400
{'Mean Episode Return': Array(7.669971, dtype=float32), 'Mean Episode Length': Array(43.619087, dtype=float32)} step=4505600
{'Mean Episode Return': Array(7.9094114, dtype=float32), 'Mean Episode Length': Array(43.31489, dtype=float32)} step=4556800
{'Mean Episode Return': Array(8.36538, dtype=float32), 'Mean Episode Length': Array(43.13483, dtype=float32)} step=4608000
{'Mean Episode Return': Array(8.465369, dtype=float32), 'Mean Episode Length': Array(44.42137, dtype=float32)} step=4659200
{'Mean Episode Return': Array(8.932297, dtype=float32), 'Mean Episode Length': Array(43.972507, dtype=float32)} step=4710400
{'Mean Episode Return': Array(9.170078, dtype=float32), 'Mean Episode Length': Array(44.33078, dtype=float32)} step=4761600
{'Mean Episode Return': Array(9.407378, dtype=float32), 'Mean Episode Length': Array(44.05195, dtype=float32)} step=4812800
{'Mean Episode Return': Array(10.019576, dtype=float32), 'Mean Episode Length': Array(44.136322, dtype=float32)} step=4864000
{'Mean Episode Return': Array(9.994787, dtype=float32), 'Mean Episode Length': Array(43.545532, dtype=float32)} step=4915200
{'Mean Episode Return': Array(10.109279, dtype=float32), 'Mean Episode Length': Array(43.602226, dtype=float32)} step=4966400
{'Mean Episode Return': Array(10.574208, dtype=float32), 'Mean Episode Length': Array(43.35973, dtype=float32)} step=5017600
{'Mean Episode Return': Array(10.556474, dtype=float32), 'Mean Episode Length': Array(44.31453, dtype=float32)} step=5068800
{'Mean Episode Return': Array(10.809768, dtype=float32), 'Mean Episode Length': Array(43.645077, dtype=float32)} step=5120000
{'Mean Episode Return': Array(11.202247, dtype=float32), 'Mean Episode Length': Array(43.28104, dtype=float32)} step=5171200
{'Mean Episode Return': Array(11.107695, dtype=float32), 'Mean Episode Length': Array(43.3906, dtype=float32)} step=5222400
{'Mean Episode Return': Array(11.193444, dtype=float32), 'Mean Episode Length': Array(44.013844, dtype=float32)} step=5273600
{'Mean Episode Return': Array(11.171479, dtype=float32), 'Mean Episode Length': Array(44.601025, dtype=float32)} step=5324800
{'Mean Episode Return': Array(11.52516, dtype=float32), 'Mean Episode Length': Array(43.18601, dtype=float32)} step=5376000
{'Mean Episode Return': Array(11.852094, dtype=float32), 'Mean Episode Length': Array(43.45393, dtype=float32)} step=5427200
{'Mean Episode Return': Array(11.963828, dtype=float32), 'Mean Episode Length': Array(43.543518, dtype=float32)} step=5478400
{'Mean Episode Return': Array(12.237574, dtype=float32), 'Mean Episode Length': Array(43.100334, dtype=float32)} step=5529600
{'Mean Episode Return': Array(12.185892, dtype=float32), 'Mean Episode Length': Array(43.60547, dtype=float32)} step=5580800
{'Mean Episode Return': Array(12.481514, dtype=float32), 'Mean Episode Length': Array(43.32994, dtype=float32)} step=5632000
{'Mean Episode Return': Array(12.750197, dtype=float32), 'Mean Episode Length': Array(43.986954, dtype=float32)} step=5683200
{'Mean Episode Return': Array(12.733263, dtype=float32), 'Mean Episode Length': Array(44.49094, dtype=float32)} step=5734400
{'Mean Episode Return': Array(12.830764, dtype=float32), 'Mean Episode Length': Array(44.755928, dtype=float32)} step=5785600
{'Mean Episode Return': Array(13.048966, dtype=float32), 'Mean Episode Length': Array(44.778458, dtype=float32)} step=5836800
{'Mean Episode Return': Array(13.1641, dtype=float32), 'Mean Episode Length': Array(45.9148, dtype=float32)} step=5888000
{'Mean Episode Return': Array(13.122517, dtype=float32), 'Mean Episode Length': Array(44.728214, dtype=float32)} step=5939200
{'Mean Episode Return': Array(13.413181, dtype=float32), 'Mean Episode Length': Array(44.81062, dtype=float32)} step=5990400
{'Mean Episode Return': Array(13.363695, dtype=float32), 'Mean Episode Length': Array(45.29626, dtype=float32)} step=6041600
{'Mean Episode Return': Array(13.362287, dtype=float32), 'Mean Episode Length': Array(44.827835, dtype=float32)} step=6092800
{'Mean Episode Return': Array(13.412424, dtype=float32), 'Mean Episode Length': Array(45.192654, dtype=float32)} step=6144000
{'Mean Episode Return': Array(13.421179, dtype=float32), 'Mean Episode Length': Array(45.797535, dtype=float32)} step=6195200
{'Mean Episode Return': Array(13.679746, dtype=float32), 'Mean Episode Length': Array(45.532444, dtype=float32)} step=6246400
{'Mean Episode Return': Array(13.901935, dtype=float32), 'Mean Episode Length': Array(45.5935, dtype=float32)} step=6297600
{'Mean Episode Return': Array(14.001815, dtype=float32), 'Mean Episode Length': Array(45.57449, dtype=float32)} step=6348800
{'Mean Episode Return': Array(14.218881, dtype=float32), 'Mean Episode Length': Array(46.22979, dtype=float32)} step=6400000
{'Mean Episode Return': Array(14.156728, dtype=float32), 'Mean Episode Length': Array(45.99103, dtype=float32)} step=6451200
{'Mean Episode Return': Array(14.352621, dtype=float32), 'Mean Episode Length': Array(47.138054, dtype=float32)} step=6502400
{'Mean Episode Return': Array(14.398562, dtype=float32), 'Mean Episode Length': Array(46.869324, dtype=float32)} step=6553600
{'Mean Episode Return': Array(14.518249, dtype=float32), 'Mean Episode Length': Array(47.657623, dtype=float32)} step=6604800
{'Mean Episode Return': Array(13.72677, dtype=float32), 'Mean Episode Length': Array(46.968468, dtype=float32)} step=6656000
{'Mean Episode Return': Array(8.90382, dtype=float32), 'Mean Episode Length': Array(44.20189, dtype=float32)} step=6707200
{'Mean Episode Return': Array(7.3852816, dtype=float32), 'Mean Episode Length': Array(43.610443, dtype=float32)} step=6758400
{'Mean Episode Return': Array(8.030545, dtype=float32), 'Mean Episode Length': Array(44.34136, dtype=float32)} step=6809600
{'Mean Episode Return': Array(8.138998, dtype=float32), 'Mean Episode Length': Array(43.52418, dtype=float32)} step=6860800
{'Mean Episode Return': Array(8.222812, dtype=float32), 'Mean Episode Length': Array(43.0391, dtype=float32)} step=6912000
{'Mean Episode Return': Array(8.581443, dtype=float32), 'Mean Episode Length': Array(44.033737, dtype=float32)} step=6963200
{'Mean Episode Return': Array(8.461707, dtype=float32), 'Mean Episode Length': Array(43.560772, dtype=float32)} step=7014400
{'Mean Episode Return': Array(8.995121, dtype=float32), 'Mean Episode Length': Array(43.738358, dtype=float32)} step=7065600
{'Mean Episode Return': Array(9.034505, dtype=float32), 'Mean Episode Length': Array(42.717796, dtype=float32)} step=7116800
{'Mean Episode Return': Array(9.150342, dtype=float32), 'Mean Episode Length': Array(44.08958, dtype=float32)} step=7168000
{'Mean Episode Return': Array(9.323848, dtype=float32), 'Mean Episode Length': Array(43.901386, dtype=float32)} step=7219200
{'Mean Episode Return': Array(9.284278, dtype=float32), 'Mean Episode Length': Array(43.502563, dtype=float32)} step=7270400
{'Mean Episode Return': Array(9.549711, dtype=float32), 'Mean Episode Length': Array(43.577477, dtype=float32)} step=7321600
{'Mean Episode Return': Array(9.427456, dtype=float32), 'Mean Episode Length': Array(43.525696, dtype=float32)} step=7372800
{'Mean Episode Return': Array(9.685625, dtype=float32), 'Mean Episode Length': Array(44.071552, dtype=float32)} step=7424000
{'Mean Episode Return': Array(9.657865, dtype=float32), 'Mean Episode Length': Array(43.682617, dtype=float32)} step=7475200
{'Mean Episode Return': Array(10.194463, dtype=float32), 'Mean Episode Length': Array(44.488575, dtype=float32)} step=7526400
{'Mean Episode Return': Array(10.080552, dtype=float32), 'Mean Episode Length': Array(43.814285, dtype=float32)} step=7577600
{'Mean Episode Return': Array(10.281829, dtype=float32), 'Mean Episode Length': Array(44.414894, dtype=float32)} step=7628800
{'Mean Episode Return': Array(10.284595, dtype=float32), 'Mean Episode Length': Array(44.69509, dtype=float32)} step=7680000
{'Mean Episode Return': Array(10.085885, dtype=float32), 'Mean Episode Length': Array(44.106365, dtype=float32)} step=7731200
{'Mean Episode Return': Array(10.5311365, dtype=float32), 'Mean Episode Length': Array(44.65145, dtype=float32)} step=7782400
{'Mean Episode Return': Array(10.641521, dtype=float32), 'Mean Episode Length': Array(44.63391, dtype=float32)} step=7833600
{'Mean Episode Return': Array(10.514284, dtype=float32), 'Mean Episode Length': Array(44.514706, dtype=float32)} step=7884800
{'Mean Episode Return': Array(10.35755, dtype=float32), 'Mean Episode Length': Array(44.06797, dtype=float32)} step=7936000
{'Mean Episode Return': Array(10.110325, dtype=float32), 'Mean Episode Length': Array(44.642097, dtype=float32)} step=7987200
{'Mean Episode Return': Array(9.84746, dtype=float32), 'Mean Episode Length': Array(44.36583, dtype=float32)} step=8038400
{'Mean Episode Return': Array(10.285374, dtype=float32), 'Mean Episode Length': Array(44.747387, dtype=float32)} step=8089600
{'Mean Episode Return': Array(10.439576, dtype=float32), 'Mean Episode Length': Array(45.24618, dtype=float32)} step=8140800
