{'Mean Episode Return': Array(17.188353, dtype=float32), 'Mean Episode Length': Array(62.23511, dtype=float32)} step=7782400
{'Mean Episode Return': Array(17.333147, dtype=float32), 'Mean Episode Length': Array(62.750225, dtype=float32)} step=7987200
{'Mean Episode Return': Array(17.305147, dtype=float32), 'Mean Episode Length': Array(62.159237, dtype=float32)} step=8192000
{'Mean Episode Return': Array(17.469526, dtype=float32), 'Mean Episode Length': Array(62.190567, dtype=float32)} step=8396800
{'Mean Episode Return': Array(17.682512, dtype=float32), 'Mean Episode Length': Array(62.518074, dtype=float32)} step=8601600
{'Mean Episode Return': Array(17.514143, dtype=float32), 'Mean Episode Length': Array(62.49664, dtype=float32)} step=8806400
{'Mean Episode Return': Array(17.770199, dtype=float32), 'Mean Episode Length': Array(62.879036, dtype=float32)} step=9011200
{'Mean Episode Return': Array(17.85649, dtype=float32), 'Mean Episode Length': Array(62.822536, dtype=float32)} step=9216000
{'Mean Episode Return': Array(18.146877, dtype=float32), 'Mean Episode Length': Array(63.277603, dtype=float32)} step=9420800
{'Mean Episode Return': Array(17.994661, dtype=float32), 'Mean Episode Length': Array(62.53801, dtype=float32)} step=9625600
{'Mean Episode Return': Array(18.146688, dtype=float32), 'Mean Episode Length': Array(62.664196, dtype=float32)} step=9830400
{'Mean Episode Return': Array(18.728392, dtype=float32), 'Mean Episode Length': Array(63.696545, dtype=float32)} step=10035200
{'Mean Episode Return': Array(18.265533, dtype=float32), 'Mean Episode Length': Array(62.908287, dtype=float32)} step=10240000
{'Mean Episode Return': Array(18.581495, dtype=float32), 'Mean Episode Length': Array(62.462128, dtype=float32)} step=10444800
{'Mean Episode Return': Array(18.5214, dtype=float32), 'Mean Episode Length': Array(62.90523, dtype=float32)} step=10649600
{'Mean Episode Return': Array(18.65406, dtype=float32), 'Mean Episode Length': Array(62.940258, dtype=float32)} step=10854400
{'Mean Episode Return': Array(19.043795, dtype=float32), 'Mean Episode Length': Array(63.94154, dtype=float32)} step=11059200
{'Mean Episode Return': Array(19.055824, dtype=float32), 'Mean Episode Length': Array(63.30865, dtype=float32)} step=11264000
{'Mean Episode Return': Array(19.186422, dtype=float32), 'Mean Episode Length': Array(63.633636, dtype=float32)} step=11468800
{'Mean Episode Return': Array(19.19915, dtype=float32), 'Mean Episode Length': Array(63.369328, dtype=float32)} step=11673600
{'Mean Episode Return': Array(19.201351, dtype=float32), 'Mean Episode Length': Array(63.0889, dtype=float32)} step=11878400
{'Mean Episode Return': Array(19.262732, dtype=float32), 'Mean Episode Length': Array(63.056534, dtype=float32)} step=12083200
{'Mean Episode Return': Array(19.326868, dtype=float32), 'Mean Episode Length': Array(62.943203, dtype=float32)} step=12288000
{'Mean Episode Return': Array(19.647997, dtype=float32), 'Mean Episode Length': Array(63.90068, dtype=float32)} step=12492800
{'Mean Episode Return': Array(19.55225, dtype=float32), 'Mean Episode Length': Array(63.551033, dtype=float32)} step=12697600
{'Mean Episode Return': Array(20.072147, dtype=float32), 'Mean Episode Length': Array(64.39048, dtype=float32)} step=12902400
{'Mean Episode Return': Array(19.783918, dtype=float32), 'Mean Episode Length': Array(63.63894, dtype=float32)} step=13107200
{'Mean Episode Return': Array(19.929052, dtype=float32), 'Mean Episode Length': Array(63.8073, dtype=float32)} step=13312000
