{'Mean Episode Return': Array(18.289562, dtype=float32), 'Mean Episode Length': Array(48.607212, dtype=float32)} step=2662400
{'Mean Episode Return': Array(18.324827, dtype=float32), 'Mean Episode Length': Array(49.20491, dtype=float32)} step=2713600
{'Mean Episode Return': Array(18.729168, dtype=float32), 'Mean Episode Length': Array(48.743984, dtype=float32)} step=2764800
{'Mean Episode Return': Array(18.760801, dtype=float32), 'Mean Episode Length': Array(49.260914, dtype=float32)} step=2816000
{'Mean Episode Return': Array(18.942003, dtype=float32), 'Mean Episode Length': Array(49.897636, dtype=float32)} step=2867200
{'Mean Episode Return': Array(19.207914, dtype=float32), 'Mean Episode Length': Array(49.850243, dtype=float32)} step=2918400
{'Mean Episode Return': Array(19.340008, dtype=float32), 'Mean Episode Length': Array(49.962116, dtype=float32)} step=2969600
{'Mean Episode Return': Array(19.734196, dtype=float32), 'Mean Episode Length': Array(51.981155, dtype=float32)} step=3020800
{'Mean Episode Return': Array(19.762669, dtype=float32), 'Mean Episode Length': Array(51.881252, dtype=float32)} step=3072000
{'Mean Episode Return': Array(20.174408, dtype=float32), 'Mean Episode Length': Array(52.49237, dtype=float32)} step=3123200
{'Mean Episode Return': Array(20.082306, dtype=float32), 'Mean Episode Length': Array(52.37668, dtype=float32)} step=3174400
{'Mean Episode Return': Array(20.568468, dtype=float32), 'Mean Episode Length': Array(52.877266, dtype=float32)} step=3225600
{'Mean Episode Return': Array(20.610394, dtype=float32), 'Mean Episode Length': Array(54.177753, dtype=float32)} step=3276800
{'Mean Episode Return': Array(20.502382, dtype=float32), 'Mean Episode Length': Array(53.41624, dtype=float32)} step=3328000
{'Mean Episode Return': Array(21.018158, dtype=float32), 'Mean Episode Length': Array(53.53426, dtype=float32)} step=3379200
{'Mean Episode Return': Array(21.13812, dtype=float32), 'Mean Episode Length': Array(53.87725, dtype=float32)} step=3430400
{'Mean Episode Return': Array(21.458292, dtype=float32), 'Mean Episode Length': Array(55.76865, dtype=float32)} step=3481600
{'Mean Episode Return': Array(21.621267, dtype=float32), 'Mean Episode Length': Array(55.829082, dtype=float32)} step=3532800
{'Mean Episode Return': Array(21.856216, dtype=float32), 'Mean Episode Length': Array(56.28788, dtype=float32)} step=3584000
{'Mean Episode Return': Array(21.780218, dtype=float32), 'Mean Episode Length': Array(55.933334, dtype=float32)} step=3635200
{'Mean Episode Return': Array(21.904646, dtype=float32), 'Mean Episode Length': Array(58.00898, dtype=float32)} step=3686400
{'Mean Episode Return': Array(22.193466, dtype=float32), 'Mean Episode Length': Array(58.961582, dtype=float32)} step=3737600
{'Mean Episode Return': Array(22.741732, dtype=float32), 'Mean Episode Length': Array(60., dtype=float32)} step=3788800
{'Mean Episode Return': Array(22.522642, dtype=float32), 'Mean Episode Length': Array(58.294735, dtype=float32)} step=3840000
{'Mean Episode Return': Array(23.122936, dtype=float32), 'Mean Episode Length': Array(60.252396, dtype=float32)} step=3891200
{'Mean Episode Return': Array(22.802832, dtype=float32), 'Mean Episode Length': Array(60.34887, dtype=float32)} step=3942400
{'Mean Episode Return': Array(23.294235, dtype=float32), 'Mean Episode Length': Array(60.3772, dtype=float32)} step=3993600
{'Mean Episode Return': Array(23.39967, dtype=float32), 'Mean Episode Length': Array(61.367718, dtype=float32)} step=4044800
{'Mean Episode Return': Array(23.686077, dtype=float32), 'Mean Episode Length': Array(61.933495, dtype=float32)} step=4096000
{'Mean Episode Return': Array(24.06291, dtype=float32), 'Mean Episode Length': Array(62.300507, dtype=float32)} step=4147200
{'Mean Episode Return': Array(23.808031, dtype=float32), 'Mean Episode Length': Array(62.983032, dtype=float32)} step=4198400
{'Mean Episode Return': Array(23.750507, dtype=float32), 'Mean Episode Length': Array(63.286617, dtype=float32)} step=4249600
{'Mean Episode Return': Array(24.385696, dtype=float32), 'Mean Episode Length': Array(64.896675, dtype=float32)} step=4300800
{'Mean Episode Return': Array(24.669472, dtype=float32), 'Mean Episode Length': Array(63.450314, dtype=float32)} step=4352000
{'Mean Episode Return': Array(24.33939, dtype=float32), 'Mean Episode Length': Array(63.150635, dtype=float32)} step=4403200
{'Mean Episode Return': Array(24.623917, dtype=float32), 'Mean Episode Length': Array(64.39461, dtype=float32)} step=4454400
{'Mean Episode Return': Array(25.200916, dtype=float32), 'Mean Episode Length': Array(65.69171, dtype=float32)} step=4505600
{'Mean Episode Return': Array(26.014381, dtype=float32), 'Mean Episode Length': Array(66.54784, dtype=float32)} step=4556800
{'Mean Episode Return': Array(25.974096, dtype=float32), 'Mean Episode Length': Array(66.241196, dtype=float32)} step=4608000
{'Mean Episode Return': Array(26.114504, dtype=float32), 'Mean Episode Length': Array(67.386246, dtype=float32)} step=4659200
{'Mean Episode Return': Array(25.735247, dtype=float32), 'Mean Episode Length': Array(66.164764, dtype=float32)} step=4710400
{'Mean Episode Return': Array(25.07724, dtype=float32), 'Mean Episode Length': Array(64.29287, dtype=float32)} step=4761600
{'Mean Episode Return': Array(25.11339, dtype=float32), 'Mean Episode Length': Array(64.84248, dtype=float32)} step=4812800
{'Mean Episode Return': Array(23.53813, dtype=float32), 'Mean Episode Length': Array(59.63176, dtype=float32)} step=4864000
{'Mean Episode Return': Array(23.112474, dtype=float32), 'Mean Episode Length': Array(58.937866, dtype=float32)} step=4915200
{'Mean Episode Return': Array(23.492224, dtype=float32), 'Mean Episode Length': Array(60.092434, dtype=float32)} step=4966400
{'Mean Episode Return': Array(23.055117, dtype=float32), 'Mean Episode Length': Array(60.80539, dtype=float32)} step=5017600
{'Mean Episode Return': Array(23.54119, dtype=float32), 'Mean Episode Length': Array(62.404415, dtype=float32)} step=5068800
{'Mean Episode Return': Array(23.509714, dtype=float32), 'Mean Episode Length': Array(62.45823, dtype=float32)} step=5120000
{'Mean Episode Return': Array(24.36783, dtype=float32), 'Mean Episode Length': Array(63.64619, dtype=float32)} step=5171200
{'Mean Episode Return': Array(24.376713, dtype=float32), 'Mean Episode Length': Array(63.301647, dtype=float32)} step=5222400
{'Mean Episode Return': Array(24.944086, dtype=float32), 'Mean Episode Length': Array(64.972534, dtype=float32)} step=5273600
{'Mean Episode Return': Array(25.70643, dtype=float32), 'Mean Episode Length': Array(66.10977, dtype=float32)} step=5324800
{'Mean Episode Return': Array(26.032026, dtype=float32), 'Mean Episode Length': Array(67.115585, dtype=float32)} step=5376000
{'Mean Episode Return': Array(26.096468, dtype=float32), 'Mean Episode Length': Array(67.83962, dtype=float32)} step=5427200
{'Mean Episode Return': Array(25.93869, dtype=float32), 'Mean Episode Length': Array(67.98072, dtype=float32)} step=5478400
{'Mean Episode Return': Array(25.65762, dtype=float32), 'Mean Episode Length': Array(67.7063, dtype=float32)} step=5529600
{'Mean Episode Return': Array(26.304546, dtype=float32), 'Mean Episode Length': Array(68.596466, dtype=float32)} step=5580800
{'Mean Episode Return': Array(25.722914, dtype=float32), 'Mean Episode Length': Array(66.75733, dtype=float32)} step=5632000
{'Mean Episode Return': Array(25.013083, dtype=float32), 'Mean Episode Length': Array(65.15259, dtype=float32)} step=5683200
{'Mean Episode Return': Array(25.203156, dtype=float32), 'Mean Episode Length': Array(65.94703, dtype=float32)} step=5734400
{'Mean Episode Return': Array(25.532227, dtype=float32), 'Mean Episode Length': Array(67.15007, dtype=float32)} step=5785600
{'Mean Episode Return': Array(26.020983, dtype=float32), 'Mean Episode Length': Array(68.65749, dtype=float32)} step=5836800
{'Mean Episode Return': Array(25.789474, dtype=float32), 'Mean Episode Length': Array(69.11451, dtype=float32)} step=5888000
{'Mean Episode Return': Array(25.343103, dtype=float32), 'Mean Episode Length': Array(68.53113, dtype=float32)} step=5939200
{'Mean Episode Return': Array(25.069054, dtype=float32), 'Mean Episode Length': Array(66.11186, dtype=float32)} step=5990400
{'Mean Episode Return': Array(25.86644, dtype=float32), 'Mean Episode Length': Array(67.97755, dtype=float32)} step=6041600
{'Mean Episode Return': Array(26.39605, dtype=float32), 'Mean Episode Length': Array(67.72727, dtype=float32)} step=6092800
{'Mean Episode Return': Array(26.335922, dtype=float32), 'Mean Episode Length': Array(68.46524, dtype=float32)} step=6144000
{'Mean Episode Return': Array(26.911171, dtype=float32), 'Mean Episode Length': Array(69.663864, dtype=float32)} step=6195200
{'Mean Episode Return': Array(27.291996, dtype=float32), 'Mean Episode Length': Array(69.71838, dtype=float32)} step=6246400
{'Mean Episode Return': Array(26.994787, dtype=float32), 'Mean Episode Length': Array(68.46019, dtype=float32)} step=6297600
{'Mean Episode Return': Array(27.553062, dtype=float32), 'Mean Episode Length': Array(68.57438, dtype=float32)} step=6348800
{'Mean Episode Return': Array(28.376917, dtype=float32), 'Mean Episode Length': Array(70.59531, dtype=float32)} step=6400000
{'Mean Episode Return': Array(28.584084, dtype=float32), 'Mean Episode Length': Array(70.59295, dtype=float32)} step=6451200
{'Mean Episode Return': Array(28.635597, dtype=float32), 'Mean Episode Length': Array(69.556915, dtype=float32)} step=6502400
{'Mean Episode Return': Array(28.835567, dtype=float32), 'Mean Episode Length': Array(70.52476, dtype=float32)} step=6553600
{'Mean Episode Return': Array(29.229073, dtype=float32), 'Mean Episode Length': Array(71.31354, dtype=float32)} step=6604800
{'Mean Episode Return': Array(29.394325, dtype=float32), 'Mean Episode Length': Array(71.668076, dtype=float32)} step=6656000
{'Mean Episode Return': Array(29.60533, dtype=float32), 'Mean Episode Length': Array(71.44205, dtype=float32)} step=6707200
