{'Mean Episode Return': Array(0.03793213, dtype=float32), 'Mean Episode Length': Array(61.965076, dtype=float32)} step=7782400
{'Mean Episode Return': Array(0.03704086, dtype=float32), 'Mean Episode Length': Array(62.267113, dtype=float32)} step=7987200
{'Mean Episode Return': Array(0.03893074, dtype=float32), 'Mean Episode Length': Array(61.902428, dtype=float32)} step=8192000
{'Mean Episode Return': Array(0.0340896, dtype=float32), 'Mean Episode Length': Array(62.617672, dtype=float32)} step=8396800
{'Mean Episode Return': Array(0.03448742, dtype=float32), 'Mean Episode Length': Array(61.568813, dtype=float32)} step=8601600
{'Mean Episode Return': Array(0.03610075, dtype=float32), 'Mean Episode Length': Array(62.001526, dtype=float32)} step=8806400
{'Mean Episode Return': Array(0.03990883, dtype=float32), 'Mean Episode Length': Array(62.45877, dtype=float32)} step=9011200
{'Mean Episode Return': Array(0.0376007, dtype=float32), 'Mean Episode Length': Array(61.65685, dtype=float32)} step=9216000
{'Mean Episode Return': Array(0.03339965, dtype=float32), 'Mean Episode Length': Array(61.831127, dtype=float32)} step=9420800
{'Mean Episode Return': Array(0.04063556, dtype=float32), 'Mean Episode Length': Array(61.15162, dtype=float32)} step=9625600
{'Mean Episode Return': Array(0.03925188, dtype=float32), 'Mean Episode Length': Array(61.85279, dtype=float32)} step=9830400
{'Mean Episode Return': Array(0.03665959, dtype=float32), 'Mean Episode Length': Array(61.02277, dtype=float32)} step=10035200
{'Mean Episode Return': Array(0.03877934, dtype=float32), 'Mean Episode Length': Array(61.568195, dtype=float32)} step=10240000
{'Mean Episode Return': Array(0.03688579, dtype=float32), 'Mean Episode Length': Array(61.365944, dtype=float32)} step=10444800
{'Mean Episode Return': Array(0.03412994, dtype=float32), 'Mean Episode Length': Array(61.80413, dtype=float32)} step=10649600
{'Mean Episode Return': Array(0.03937546, dtype=float32), 'Mean Episode Length': Array(61.167374, dtype=float32)} step=10854400
{'Mean Episode Return': Array(0.03834227, dtype=float32), 'Mean Episode Length': Array(62.27349, dtype=float32)} step=11059200
{'Mean Episode Return': Array(0.03577747, dtype=float32), 'Mean Episode Length': Array(61.580288, dtype=float32)} step=11264000
{'Mean Episode Return': Array(0.04042943, dtype=float32), 'Mean Episode Length': Array(61.68023, dtype=float32)} step=11468800
{'Mean Episode Return': Array(0.03362466, dtype=float32), 'Mean Episode Length': Array(61.4941, dtype=float32)} step=11673600
{'Mean Episode Return': Array(0.03962428, dtype=float32), 'Mean Episode Length': Array(61.424862, dtype=float32)} step=11878400
{'Mean Episode Return': Array(0.03997985, dtype=float32), 'Mean Episode Length': Array(61.593903, dtype=float32)} step=12083200
{'Mean Episode Return': Array(0.03544536, dtype=float32), 'Mean Episode Length': Array(61.20326, dtype=float32)} step=12288000
{'Mean Episode Return': Array(0.03849233, dtype=float32), 'Mean Episode Length': Array(61.740093, dtype=float32)} step=12492800
{'Mean Episode Return': Array(0.03530435, dtype=float32), 'Mean Episode Length': Array(61.486176, dtype=float32)} step=12697600
{'Mean Episode Return': Array(0.0372121, dtype=float32), 'Mean Episode Length': Array(62.10911, dtype=float32)} step=12902400
{'Mean Episode Return': Array(0.03958536, dtype=float32), 'Mean Episode Length': Array(61.712936, dtype=float32)} step=13107200
{'Mean Episode Return': Array(0.03647525, dtype=float32), 'Mean Episode Length': Array(61.710243, dtype=float32)} step=13312000
{'Mean Episode Return': Array(0.03976546, dtype=float32), 'Mean Episode Length': Array(61.161304, dtype=float32)} step=13516800
{'Mean Episode Return': Array(0.03576506, dtype=float32), 'Mean Episode Length': Array(61.536762, dtype=float32)} step=13721600
{'Mean Episode Return': Array(0.03645435, dtype=float32), 'Mean Episode Length': Array(61.31054, dtype=float32)} step=13926400
{'Mean Episode Return': Array(0.03562467, dtype=float32), 'Mean Episode Length': Array(61.076668, dtype=float32)} step=14131200
