Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
566,0.32091087,-0.08489008,-0.20073378,-0.314673,-0.037644096,-0.407396,-0.083999306,0.18406299,-0.37649745,0.1656501,-0.30903965,0.03172025,-0.3058641,-0.16548033,-0.24124078,0.18258737,0.7508115,1.6760855,0.006492504,-0.013824357,0.25183234,-0.42239428,0.12464638,1.2154653,1.6661661,0.0020311896,-0.007032512,-1.8821304,-0.25078723,-1.089782,-0.22096334,-6.8396096,1.0200818,0.53521955,-0.3195601,-5.5882554,-2.6332867,-0.07531555,1.3668303,0.060191784,1.1696397,-2.6347609,0.031128377,1.396354,-0.048623975,0.0018283577,-0.026169127,-2.7472548,2.359799,0.6715337,2.0350096,-0.15143824,-0.098646775,-0.0030908484
567,0.3010718,-0.088328436,-0.21161297,-0.31738794,-0.10377414,-0.39467943,-0.077709384,0.18172258,-0.43689352,0.13581793,-0.31086785,0.045385797,-0.30584562,-0.1474273,-0.2717759,0.19488086,0.7551126,1.6754155,0.0066105025,-0.01412581,0.22570463,-0.3964813,0.13248561,1.2317473,1.6648288,0.0014932926,-0.007138395,-2.0120668,-0.39806598,-1.0737245,-0.3081345,-6.4676604,1.4631118,0.6843064,-0.18869352,-6.3166094,-3.2179601,-0.21563895,1.3675076,-0.034060948,2.194542,-3.3185048,1.9416175,-0.15011734,-0.07205759,0.017018244,-0.02971181,-2.5339785,2.7425952,0.8556872,1.3760211,-0.12140825,-0.031829234,-0.013108863
568,0.2800882,-0.09332933,-0.21925105,-0.32133237,-0.1504725,-0.37787306,-0.06932562,0.18043116,-0.50293404,0.09936097,-0.31370577,0.05779807,-0.3061727,-0.12391118,-0.30682787,0.21109,0.74892867,1.6746196,0.006914882,-0.014335927,0.20305139,-0.36963683,0.14511639,1.2440151,1.663797,0.0013591311,-0.0071772123,-2.2392337,-0.5483032,-0.21582825,-0.49748877,-0.790027,1.8130016,0.9759367,-0.045963272,-6.754557,-3.9547882,-0.31743318,1.0816705,-0.095349476,2.4323058,-3.6074963,1.425702,-0.9094817,-0.08045945,0.035111576,-0.0159085,-2.1140187,2.61192,1.5141914,1.1688536,-0.09159345,-0.004278341,0.0008864684
569,0.25411326,-0.102104165,-0.21661748,-0.32380298,-0.10504613,-0.3569361,-0.056133915,0.18205574,-0.57122326,0.053463597,-0.315916,0.06278116,-0.31236693,-0.098627985,-0.32943738,0.19269823,0.7157915,1.6741412,0.0072384984,-0.014726773,0.1742412,-0.34339264,0.13300678,1.2594141,1.6630896,0.0021421644,-0.0072634164,-2.9246132,-1.0943242,0.4786875,0.10905193,7.111301,2.1985614,1.5546517,0.22020385,-6.7922397,-5.031673,-0.1856712,0.08439923,-0.91017956,2.59227,-1.4385213,-3.820439,-4.8066473,-0.033641078,0.025329513,-0.045983225,-3.3383365,2.5992374,-2.8600855,1.7585263,-0.060622107,0.110056505,-0.013401063
570,0.22923695,-0.110762954,-0.21402243,-0.32355252,-0.09957642,-0.33560967,-0.04191675,0.17751423,-0.6371255,0.0036013767,-0.31919914,0.06556879,-0.31854445,-0.06927272,-0.36176544,0.21131627,0.69584435,1.6742094,0.0068227234,-0.013850887,0.13131641,-0.297354,0.05387181,1.2715532,1.6638246,0.0033993481,-0.0075945426,-2.2695973,-0.6944712,0.6354885,-0.4307479,1.8352168,2.008715,1.4097311,-0.7489046,-6.442107,-4.737569,-0.516851,0.3132274,-0.4605114,3.1494427,-4.255748,5.2669415,-0.2383478,0.028527139,-0.06289476,0.14229912,-4.7673354,5.8280363,-10.925814,0.90170395,0.12819915,0.1229667,-0.041646536
571,0.21156965,-0.11496731,-0.2067245,-0.33727056,-0.06962428,-0.31436765,-0.03193325,0.16799979,-0.7007874,-0.03835932,-0.3260901,0.0704894,-0.31355277,-0.06633815,-0.39331427,0.2021776,0.72382116,1.6747924,0.006520103,-0.013031603,0.11197827,-0.27180183,0.03844228,1.2491429,1.664271,0.0027978662,-0.008483591,-1.3615235,-0.12117587,0.5201398,-2.0644195,1.6581148,2.1957138,0.5063808,-1.0675583,-6.329318,-3.8326366,-0.88421535,0.857609,1.0881659,-1.4059749,-2.509854,-4.5063486,4.5208464,0.06491612,-0.019282626,0.047904786,-0.23233253,0.52881306,4.1403055,-4.3179936,0.011137296,-0.1309484,-0.10183281
572,0.20407084,-0.11467574,-0.20261039,-0.37064365,-0.038411677,-0.28961736,-0.032072656,0.15911703,-0.7635403,-0.07511596,-0.33772418,0.0798539,-0.30384824,-0.080371656,-0.40459618,0.17274638,0.7464713,1.674798,0.005570019,-0.0135130435,0.1164309,-0.288879,0.11392953,1.2104064,1.6641449,0.0022175894,-0.008505,-0.43371797,-0.031041555,0.2579391,-3.8813605,3.7321768,2.7461996,-0.19768296,-0.64856243,-6.207997,-3.5999985,-1.2100062,0.81711334,0.7788246,-1.5082619,-0.18561965,-2.0556426,0.9139247,-0.026533939,-0.12464147,-0.08681995,0.84884834,-3.125716,9.687022,-3.5020132,-0.020980496,-0.018392578,0.042373274
573,0.20233499,-0.11847514,-0.20243724,-0.4066054,-0.015598807,-0.25684276,-0.03205813,0.15573557,-0.82259834,-0.10713736,-0.3455003,0.08342262,-0.30198282,-0.09011896,-0.40675944,0.19191799,0.74370986,1.6745924,0.004570016,-0.0139694605,0.118537866,-0.32003772,0.19327852,1.1713227,1.6644512,0.0032288495,-0.008381955,0.2366241,-0.513338,0.13651124,-3.8004737,2.6689065,3.6089017,0.09244662,-0.35551745,-5.6345644,-2.9030588,-0.48278284,0.0652532,-0.019930225,-0.66990787,-0.19600257,4.2674146,-0.9949905,-0.01428567,-0.081899524,-0.023915922,-0.21247207,-3.092802,6.7901435,-4.218468,0.052779958,0.14989638,-0.0011479672
574,0.20497291,-0.124923065,-0.2001271,-0.4441973,0.017114962,-0.21991804,-0.030013366,0.15218675,-0.8740299,-0.13223946,-0.35047093,0.08064533,-0.30821636,-0.081235275,-0.39592063,0.23421283,0.70943266,1.6747782,0.004603702,-0.013607143,0.09755649,-0.3366845,0.20187487,1.1396542,1.6651891,0.005251502,-0.007937852,0.17832458,-0.7088912,0.25388455,-3.5648134,3.4435573,3.7289243,0.26724607,-0.3545918,-4.8161087,-2.2433138,-0.5043695,-0.48802012,-0.9990983,1.82622,1.9003973,4.1971703,-4.906086,0.03245902,0.040961176,0.06494939,-3.2985058,-0.8041686,-2.8572757,-2.569182,0.07770144,0.21209581,0.061944924
575,0.20370074,-0.13176809,-0.19688705,-0.47536194,0.05045392,-0.18343419,-0.026708912,0.14787973,-0.91826475,-0.1493277,-0.35768676,0.07426906,-0.31885284,-0.07202223,-0.3726666,0.24065377,0.70142585,1.6750879,0.005704485,-0.011738113,0.05608479,-0.34809425,0.17041159,1.1378837,1.6662596,0.006412545,-0.006789832,-0.26140305,-0.6770405,0.3727836,-2.8016498,3.190984,3.680976,0.39033258,-0.4803294,-4.196901,-1.3609982,-0.7828903,-0.75075316,-1.1037478,0.40276903,2.564039,-1.438761,1.7278935,0.026396563,0.13472661,0.23043528,-4.7097836,-1.3417158,-3.3157022,1.3150865,0.1162729,0.069457375,0.13205391
