{'Mean Episode Return': Array(2.170263, dtype=float32), 'Mean Episode Length': Array(61.67299, dtype=float32)} step=1894400
{'Mean Episode Return': Array(2.2628865, dtype=float32), 'Mean Episode Length': Array(62.574207, dtype=float32)} step=1945600
{'Mean Episode Return': Array(2.2099366, dtype=float32), 'Mean Episode Length': Array(61.715153, dtype=float32)} step=1996800
{'Mean Episode Return': Array(2.2566285, dtype=float32), 'Mean Episode Length': Array(62.261616, dtype=float32)} step=2048000
{'Mean Episode Return': Array(2.191176, dtype=float32), 'Mean Episode Length': Array(62.125885, dtype=float32)} step=2099200
{'Mean Episode Return': Array(2.211706, dtype=float32), 'Mean Episode Length': Array(62.298866, dtype=float32)} step=2150400
{'Mean Episode Return': Array(2.2599392, dtype=float32), 'Mean Episode Length': Array(64.445694, dtype=float32)} step=2201600
{'Mean Episode Return': Array(2.2348948, dtype=float32), 'Mean Episode Length': Array(62.903225, dtype=float32)} step=2252800
{'Mean Episode Return': Array(2.2245343, dtype=float32), 'Mean Episode Length': Array(62.5796, dtype=float32)} step=2304000
{'Mean Episode Return': Array(2.1542342, dtype=float32), 'Mean Episode Length': Array(64.62563, dtype=float32)} step=2355200
{'Mean Episode Return': Array(2.1210465, dtype=float32), 'Mean Episode Length': Array(64.270035, dtype=float32)} step=2406400
{'Mean Episode Return': Array(2.2377095, dtype=float32), 'Mean Episode Length': Array(62.906555, dtype=float32)} step=2457600
{'Mean Episode Return': Array(2.2374635, dtype=float32), 'Mean Episode Length': Array(62.466427, dtype=float32)} step=2508800
{'Mean Episode Return': Array(2.2200406, dtype=float32), 'Mean Episode Length': Array(61.406097, dtype=float32)} step=2560000
{'Mean Episode Return': Array(2.274082, dtype=float32), 'Mean Episode Length': Array(62.872883, dtype=float32)} step=2611200
{'Mean Episode Return': Array(2.1949284, dtype=float32), 'Mean Episode Length': Array(61.375313, dtype=float32)} step=2662400
{'Mean Episode Return': Array(2.2575963, dtype=float32), 'Mean Episode Length': Array(63.06148, dtype=float32)} step=2713600
{'Mean Episode Return': Array(2.2471101, dtype=float32), 'Mean Episode Length': Array(63.48015, dtype=float32)} step=2764800
{'Mean Episode Return': Array(2.3022685, dtype=float32), 'Mean Episode Length': Array(64.27472, dtype=float32)} step=2816000
{'Mean Episode Return': Array(2.3129964, dtype=float32), 'Mean Episode Length': Array(63.746655, dtype=float32)} step=2867200
{'Mean Episode Return': Array(2.2852273, dtype=float32), 'Mean Episode Length': Array(62.03265, dtype=float32)} step=2918400
{'Mean Episode Return': Array(2.1831713, dtype=float32), 'Mean Episode Length': Array(61.661247, dtype=float32)} step=2969600
{'Mean Episode Return': Array(2.276148, dtype=float32), 'Mean Episode Length': Array(62.4019, dtype=float32)} step=3020800
{'Mean Episode Return': Array(2.2267041, dtype=float32), 'Mean Episode Length': Array(61.719955, dtype=float32)} step=3072000
{'Mean Episode Return': Array(2.2746289, dtype=float32), 'Mean Episode Length': Array(62.374535, dtype=float32)} step=3123200
{'Mean Episode Return': Array(2.2137566, dtype=float32), 'Mean Episode Length': Array(63.943394, dtype=float32)} step=3174400
{'Mean Episode Return': Array(2.2086182, dtype=float32), 'Mean Episode Length': Array(62.943607, dtype=float32)} step=3225600
{'Mean Episode Return': Array(2.2840965, dtype=float32), 'Mean Episode Length': Array(63.876865, dtype=float32)} step=3276800
{'Mean Episode Return': Array(2.3765051, dtype=float32), 'Mean Episode Length': Array(63.322742, dtype=float32)} step=3328000
{'Mean Episode Return': Array(2.2596397, dtype=float32), 'Mean Episode Length': Array(63.066498, dtype=float32)} step=3379200
{'Mean Episode Return': Array(2.2947292, dtype=float32), 'Mean Episode Length': Array(63.13471, dtype=float32)} step=3430400
{'Mean Episode Return': Array(2.1660635, dtype=float32), 'Mean Episode Length': Array(61.713943, dtype=float32)} step=3481600
