Timestep,mot_shoulder_flex_r,mot_shoulder_add_r,mot_shoulder_rot_r,mot_elbow_flex_r,mot_pro_sup_r,mot_wrist_flex_r,mot_wrist_dev_r,mot_shoulder_flex_l,mot_shoulder_add_l,mot_shoulder_rot_l,mot_elbow_flex_l,mot_pro_sup_l,mot_wrist_flex_l,mot_wrist_dev_l
529,-4.1410375,9.093992,3.3420975,-0.08887719,35.07975,1.6762273,14.7636175,7.435656,-12.217566,-5.7589836,3.752533,23.625408,-9.886577,10.056519
530,-7.367689,0.74157524,2.4558327,-0.87126124,35.224674,1.6348239,14.9154825,0.62396574,-5.4564576,-3.6936905,3.2157054,24.021645,-9.863211,10.154712
531,-2.3176632,2.548804,2.2818973,2.0010583,35.080177,1.6495634,15.295078,6.7743826,-9.168928,-5.3275685,4.4031005,23.219627,-9.7803,9.973687
532,-5.1651483,4.8237877,2.7219403,1.7985828,35.274036,2.0820992,15.115516,1.1602837,-19.977335,-7.6395335,2.9311583,23.557264,-9.6231,9.339288
533,0.018639158,5.0645766,1.8447944,3.303483,35.62735,2.1400473,15.129685,-0.8655322,-16.028036,-5.6638474,-0.0074782423,23.994347,-9.673046,9.431813
534,5.709791,4.5746527,1.0194131,3.8973465,35.270897,1.836591,15.016111,0.89263064,-9.669889,-3.7537248,-0.45058814,23.80013,-9.82083,9.460024
535,12.378759,-2.4977071,-1.4451517,4.485938,34.23522,0.9100979,14.588852,-7.9939647,-2.0872152,-0.25013518,-1.0923742,23.831327,-10.137895,9.657262
536,4.4798737,-22.569794,-6.115486,2.2894118,32.931572,-0.33933145,13.303995,-13.77418,-0.7593809,1.3211422,-0.274782,23.473776,-10.288559,10.37649
537,-8.777332,-29.03935,-5.216296,-6.064487,32.489952,-1.2459251,12.853202,-15.524029,3.1969044,1.1813604,-1.9210197,23.29884,-9.868962,11.404895
538,-10.729585,-14.296994,-3.655875,-3.4813607,32.672817,-1.0799432,13.937552,-9.16738,4.2135396,4.328618,2.5723147,23.453053,-9.105786,11.715152
539,-3.4817023,-7.0995426,-1.9363259,3.264,32.879463,-1.2911096,13.795135,-12.293803,2.7759955,1.8061557,1.7837241,23.688395,-8.668939,11.947101
540,-12.114492,15.279297,3.0413141,3.6344345,32.224136,-1.6886445,13.863241,-6.4854226,-12.241597,-1.2742417,-1.5225528,24.038074,-8.616357,12.096884
541,-10.325088,14.097472,2.4498322,4.234196,32.06385,-1.5587088,14.667805,3.7531226,-14.824879,-4.373358,3.6204848,23.650045,-8.478962,11.8667755
542,0.052160237,-2.1282153,-1.8822744,4.312466,32.42402,-1.7562834,14.451398,7.112567,-5.686449,-3.8880043,4.8723516,23.345688,-8.593373,11.84534
543,-1.7080601,-7.453737,-2.531727,3.675517,33.31891,-2.0863826,13.730047,9.495101,-2.9248812,-3.4388478,6.6682105,23.218523,-8.847105,12.027261
544,3.936133,-18.71258,-4.8758173,4.014875,34.39802,-3.060641,12.922211,0.050695255,-0.14131893,-1.6149437,1.9786521,24.630192,-9.04486,12.606075
545,7.17621,-19.08539,-4.301516,4.825306,35.177917,-4.2211995,12.378773,-11.665636,-5.2126074,-0.9814662,-1.6753088,26.524498,-9.524191,13.470052
546,-4.2278666,-4.521013,-0.90100414,3.2863667,35.47254,-4.257226,12.439454,-11.049861,-8.091176,-0.78274274,1.3590621,26.377396,-9.531975,13.47292
547,-2.8999465,-2.2402,0.21895726,2.0963523,35.053257,-4.62902,12.109648,-8.787005,-11.529192,-0.88416624,-1.969006,27.011,-9.756281,13.5429945
548,14.044123,-25.744545,-9.196398,3.079073,36.56869,-5.602882,10.092136,-8.8965025,5.446356,2.226059,0.37712038,27.675726,-10.731549,13.466503
549,-0.91043144,-6.1590123,-0.4636848,3.1552377,36.769226,-5.1946964,10.128469,-5.647855,0.9750876,0.71270126,-0.47457302,27.190815,-10.222339,13.445897
550,1.832679,2.1640103,0.40559813,5.1371894,36.081017,-4.905719,10.31106,0.6423848,-10.568196,-4.719442,2.0963247,26.638885,-10.550254,13.415384
551,12.203402,-14.732545,-4.8311987,5.887351,36.409855,-5.256088,10.064546,-1.6790043,-7.817631,-2.8620412,3.0161839,26.704409,-10.603538,13.269424
552,3.7884393,4.3600254,1.2874142,6.9526873,34.653168,-4.88851,10.998013,-0.5473931,-20.81424,-5.929146,-1.2222564,27.593117,-10.778554,13.539207
553,-1.6714685,5.581898,1.4684817,3.6988976,34.597916,-5.0616746,11.37902,-4.1930895,-15.191089,-5.3551097,-0.7718846,27.661318,-11.030499,13.47664
554,9.547452,-10.663292,-4.2928658,8.018859,35.120434,-5.266263,10.810339,-1.4034915,0.86163324,-1.4189408,3.1409266,27.425337,-10.961385,13.077429
555,4.475535,-7.860842,-1.5958434,3.9615989,35.03669,-5.143521,11.240984,-5.2966523,-7.833778,-3.808314,-0.96464896,27.708942,-11.029698,13.37481
556,1.1867496,-3.4137878,-1.0605978,5.2368565,35.887638,-4.9920554,11.090526,-4.0268183,-8.09584,-3.8786876,1.7798117,27.363457,-10.728032,13.304051
557,-4.339934,-1.608857,0.42929822,3.4832704,36.645035,-4.693537,11.151319,-0.46313804,-6.5014925,-3.8252351,4.706345,27.414581,-10.991133,13.024165
558,-15.497737,11.067118,6.0407195,0.1871418,36.842457,-4.2568197,11.251858,-0.78550166,-9.271056,-2.9347124,-0.07448091,27.610909,-10.75266,13.139004
559,-18.137785,8.546232,4.0931783,-2.131115,36.80577,-4.237886,10.539024,-5.4499655,-4.8273892,-1.3575232,0.6638753,27.862766,-11.077627,13.009553
560,-11.4022665,-0.8237327,1.1822276,0.25166503,36.220516,-4.5306196,10.097249,1.3728962,-5.547745,-4.1336155,2.7519612,27.487062,-11.244686,12.757214
