Timestep,root_0,root_1,root_2,root_3,root_4,root_5,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
82,0.0,0.0,0.0,-6.2422732e-06,-7.3415954e-06,1.4461825e-05,-27.812431,-6.3913054,1.7317607,77.44637,3.6667652,27.730656,6.033699,1.7658327,-0.24632344,-1.6392783,6.8355517,-44.70001,10.655751,8.011913,-4.37954,-3.001728,2.380985,33.96105,-1.007189,14.535753,-8.080677,-3.3777065,0.14444436,3.1764219,22.420008,-9.0489645,13.183994
83,0.0,0.0,0.0,-3.5115054e-06,1.6335531e-06,-4.3098917e-06,-26.210712,-6.6138983,1.5817494,79.60074,2.9482093,29.89584,5.9976206,1.8020706,0.7129822,-1.877804,4.767496,-45.16421,9.105261,6.55156,-5.93935,-2.3060594,3.2657158,33.83166,-1.081879,14.672476,-1.5050137,-1.9000032,-1.3559761,4.09981,22.340658,-8.939454,13.106351
84,0.0,0.0,0.0,-1.2750097e-05,-5.76596e-06,9.647382e-06,-24.543098,-6.8950877,1.6371557,78.32148,2.6614454,30.0523,6.4752026,1.7679503,0.9845852,-2.112414,3.9662704,-45.184772,7.7036724,5.6221385,5.6547294,-0.37679905,3.954981,33.42811,-1.0610691,14.511578,-0.067034096,-1.9183136,0.38687682,4.4103203,22.424337,-8.990186,13.057298
85,0.0,0.0,0.0,1.4139055e-05,-6.5500117e-06,1.5456306e-05,-23.224792,-7.1877365,1.7356269,73.57501,2.840952,30.845707,6.454529,1.6383002,1.9971333,-2.3499122,3.355659,-44.92387,4.869027,-1.1509416,16.807981,2.9833105,4.596417,33.077045,-1.3352635,14.228771,6.5284076,-4.656323,-0.59650767,4.4765325,22.755114,-8.965277,12.817511
86,0.0,0.0,0.0,5.8580963e-06,-3.4484588e-06,1.6445487e-06,-21.962421,-8.624699,1.4696485,72.46112,2.2722957,33.531353,6.3263416,1.6468804,3.3577642,-2.5004437,0.89544284,-46.110527,0.33889127,-6.1313915,23.35841,6.1104283,6.2705693,32.58311,-1.5524482,14.312993,13.486021,-7.138717,-2.0330677,4.4803634,22.968082,-8.849553,12.677881
87,0.0,0.0,0.0,-1.4258538e-05,-1.5370663e-06,-1.6409116e-05,-19.07103,-11.316377,1.388371,70.47333,-11.739317,36.134583,5.3446746,1.5123061,5.1463947,-2.627482,3.9143398,-50.333027,-1.1108274,2.92678,13.984059,2.0667431,7.025864,33.269936,-2.0733697,13.660842,1.4846438,-6.95299,0.93686646,4.2306137,23.738642,-9.244299,12.7834215
88,0.0,0.0,0.0,1.4364634e-06,5.599748e-06,1.3967378e-06,-16.65362,-11.010135,1.0276331,65.408,-9.137737,37.915348,3.6876218,1.3042258,6.925871,-1.8916643,-0.07543777,-51.131714,-1.6651189,7.4887266,-8.016742,-4.196356,5.082205,33.708454,-3.0702698,13.162544,2.369744,2.969603,-2.2956038,3.453767,24.207909,-9.580947,13.053883
89,0.0,0.0,0.0,-1.4939451e-06,-4.9616788e-06,7.707544e-06,-15.01643,-10.799844,0.8120226,63.56084,-9.117243,39.942207,3.4698448,1.2245276,7.842032,-0.08320213,-0.2083591,-56.16977,-4.2428694,8.667684,12.147229,1.871848,8.952748,32.512535,-3.1847925,13.712536,5.610487,-16.526022,-7.151704,1.7294731,24.806997,-9.500871,13.186595
90,0.0,0.0,0.0,1.409557e-05,-3.0581302e-06,-1.5616144e-05,-12.134431,-12.342094,1.2223815,61.692413,-7.9379964,40.86899,3.4542267,0.8147638,8.708963,2.1858323,1.1212077,-60.53889,-3.9053261,5.8793855,2.6783772,-0.57314867,6.112076,34.050594,-4.1812997,12.672645,-7.519514,-13.829806,-4.152121,-1.7135897,26.322142,-9.918323,13.459656
91,0.0,0.0,0.0,3.4573309e-06,-4.4881594e-06,1.582984e-05,-8.453121,-15.306565,1.9695629,59.753365,-6.74446,39.88924,3.9845896,0.6399544,8.450525,1.6657495,-2.624593,-58.533157,-2.9995656,7.916393,-14.403344,-5.7730317,5.2054076,34.850807,-4.868596,11.523155,-7.3156123,-6.5635595,-3.260396,-1.0972557,26.574417,-10.106334,13.33163
92,0.0,0.0,0.0,9.702793e-06,-3.4151726e-06,3.0368388e-05,-3.4864097,-16.398579,1.9290588,57.820503,-4.802209,39.5317,4.0129385,0.6162501,8.442477,2.7274876,-9.538592,-46.98761,-0.009546069,14.03233,-24.29383,-7.8971486,3.6417258,35.924,-5.3357887,10.773333,-6.7005024,0.83238864,0.31819284,2.3077269,26.667086,-10.27603,13.268663
93,0.0,0.0,0.0,4.3397017e-06,5.857878e-06,-6.2221866e-06,-1.801014,-17.316298,2.1978781,55.238693,-4.7483745,38.92769,4.7378974,0.52958566,8.533366,2.4737067,-12.757229,-43.311905,0.7987238,4.8116465,-15.044031,-3.6570835,3.894558,35.82003,-5.0758944,10.63505,-8.390202,-3.3001316,1.3663886,-1.6059564,27.273514,-10.259457,13.337824
94,0.0,0.0,0.0,-1.435989e-05,-3.398681e-06,3.2012306e-06,1.9510303,-19.387411,2.6935246,53.010384,-3.6950297,38.20033,5.458377,0.38249367,8.718328,2.512284,-17.549793,-48.838223,3.9083602,6.136434,-14.24847,-2.6408215,4.1101832,35.6774,-5.0403433,9.686846,-20.683128,-2.150656,2.056386,-4.6638875,27.131914,-10.858027,13.751584
95,0.0,0.0,0.0,-2.6689402e-06,-1.2281408e-06,2.319205e-06,4.4418707,-17.84308,2.3970962,49.12475,-1.5995324,37.24243,4.5033903,0.37359092,8.971812,2.629928,-15.73793,-43.522324,2.8060524,1.0358948,-8.124378,-1.1974736,4.53726,35.732098,-4.6142135,10.200719,-6.8558745,-6.4149384,0.83619475,-0.06705939,27.179132,-11.099381,13.581924
96,0.0,0.0,0.0,-1.2569164e-05,3.2493294e-06,6.985282e-06,4.69964,-18.35712,2.4626093,47.784134,-6.981078,35.658417,4.2927,-0.08614032,9.024089,2.8258882,-16.729986,-41.266823,3.3941176,7.2493186,-8.665072,-1.1942089,6.905061,35.01419,-4.4943595,10.677971,-4.1159253,-10.62768,-2.0450304,3.5651462,26.63251,-11.133579,13.665157
97,0.0,0.0,0.0,9.078274e-06,7.1533026e-07,-4.1466446e-06,4.2379456,-18.025362,2.4394395,45.77042,-7.898509,35.048088,4.0119915,-0.26730785,9.41333,3.0130332,-13.246583,-49.368855,1.8527976,-4.0776267,2.8834202,1.7688789,3.3588302,34.999825,-4.5576367,11.427767,-2.43573,-9.480206,-2.6297991,2.615161,26.862957,-11.225273,13.764697
