Timestep,q_hip_flexion_r,q_hip_adduction_r,q_hip_rotation_r,q_knee_angle_r,q_ankle_angle_r,q_hip_flexion_l,q_hip_adduction_l,q_hip_rotation_l,q_knee_angle_l,q_ankle_angle_l,q_lumbar_extension,q_lumbar_bending,q_lumbar_rotation,q_arm_flex_r,q_arm_add_r,q_arm_rot_r,q_elbow_flex_r,q_pro_sup_r,q_wrist_flex_r,q_wrist_dev_r,q_arm_flex_l,q_arm_add_l,q_arm_rot_l,q_elbow_flex_l,q_pro_sup_l,q_wrist_flex_l,q_wrist_dev_l,dq_hip_flexion_r,dq_hip_adduction_r,dq_hip_rotation_r,dq_knee_angle_r,dq_ankle_angle_r,dq_hip_flexion_l,dq_hip_adduction_l,dq_hip_rotation_l,dq_knee_angle_l,dq_ankle_angle_l,dq_lumbar_extension,dq_lumbar_bending,dq_lumbar_rotation,dq_arm_flex_r,dq_arm_add_r,dq_arm_rot_r,dq_elbow_flex_r,dq_pro_sup_r,dq_wrist_flex_r,dq_wrist_dev_r,dq_arm_flex_l,dq_arm_add_l,dq_arm_rot_l,dq_elbow_flex_l,dq_pro_sup_l,dq_wrist_flex_l,dq_wrist_dev_l
141,-0.10614385,-0.045957822,-0.01634094,-0.18140279,0.15377203,0.2865493,0.076916315,0.053334143,-0.8753616,-0.0045635304,-0.29386067,-0.00025163448,-0.14426668,-0.074457675,-0.3471813,0.084167525,0.95937395,1.6272044,-0.0076352926,0.01707323,-0.22336973,-0.3687978,-0.029632999,1.021461,1.6150365,-0.017182976,0.020188862,-1.92325,-0.025228063,0.40416613,1.7775171,0.46291175,1.7337744,-0.06591759,-0.3958076,4.0674586,2.1275754,-0.33140144,-0.3888454,0.48583868,1.3295068,-0.7955867,-0.76699275,2.6642454,0.021468673,0.010275096,-0.0566161,-1.7337075,0.67276704,-1.3094656,-1.0329585,0.011803493,-0.04658318,-0.004190289
142,-0.1247679,-0.044846997,-0.012123492,-0.16415042,0.15966992,0.30295902,0.07476947,0.049668036,-0.83151585,0.015226196,-0.2967604,-0.0024880576,-0.13889498,-0.061057255,-0.35463834,0.07804613,0.9831502,1.6271632,-0.007491654,0.016481072,-0.23984155,-0.36022097,-0.042818658,1.0089633,1.6150501,-0.0176455,0.020139351,-1.7979817,0.18276775,0.44245186,1.6724694,0.65474325,1.589602,-0.29532003,-0.35438037,4.5947967,1.8588809,-0.25177324,-0.1342975,0.57714844,1.3385752,-0.70868677,-0.5219242,2.2022684,-0.015325557,0.015883477,-0.05815315,-1.5940182,0.9741383,-1.3233349,-1.3821946,-0.0034218288,-0.044749454,-0.004897091
143,-0.14274096,-0.042799454,-0.00782555,-0.1476076,0.1640061,0.3172598,0.071368374,0.04604995,-0.78239876,0.031531896,-0.29972765,-0.0034461918,-0.13294764,-0.047012273,-0.3604158,0.0723304,1.0040976,1.6269433,-0.007280829,0.016047597,-0.2563388,-0.35075653,-0.056117646,0.9973123,1.6148542,-0.018014954,0.020120764,-1.8050721,0.1960104,0.4070481,1.6773618,0.13058695,1.3277928,-0.35302207,-0.37934572,5.114513,1.4712672,-0.32453015,-0.09190743,0.61420876,1.4409902,-0.49187362,-0.603554,2.040972,-0.024317473,0.022683011,-0.035138167,-1.6892098,0.9223318,-1.3299979,-1.0168053,-0.02629019,-0.03216772,-0.00060992345
144,-0.16076499,-0.038714398,-0.002680967,-0.13200262,0.1685737,0.32878122,0.06558472,0.04239087,-0.7287367,0.0439362,-0.30376178,-0.0016402575,-0.12536857,-0.03352992,-0.36782652,0.066837266,1.0270464,1.6269758,-0.0069816015,0.01574463,-0.27259362,-0.33906928,-0.07286648,0.98772734,1.6146163,-0.018258948,0.020104682,-1.8048371,0.5550105,0.5829743,1.5106218,0.5987074,1.0402737,-0.741369,-0.3755502,5.531894,1.0736238,-0.44478366,0.37316304,0.86721164,1.282219,-0.9105066,-0.52294105,2.456386,0.015515342,0.03227145,-0.027425786,-1.5781373,1.3283994,-1.8761764,-0.92519426,-0.02214616,-0.020473182,-0.0021473356
145,-0.17767102,-0.03204768,0.0043022106,-0.11796068,0.17589651,0.33825603,0.056611195,0.037905797,-0.6706341,0.05226896,-0.30756614,0.0037153014,-0.11571149,-0.019719277,-0.37784696,0.06328024,1.0500174,1.6270651,-0.0066209123,0.015322291,-0.28897983,-0.32674584,-0.08666569,0.9767621,1.6146528,-0.018535176,0.019967774,-1.5679504,0.70692945,0.7983714,1.303332,0.81182396,0.902905,-0.97746485,-0.51926976,6.0051045,0.70349455,-0.30984887,0.60581726,1.0505841,1.4387494,-1.0542719,-0.25707814,2.1905327,0.0058365962,0.03675339,-0.04742748,-1.6849732,1.1735135,-1.0729238,-1.2119111,0.015408348,-0.02945461,-0.018158969
146,-0.1920603,-0.025948197,0.012302622,-0.10554694,0.1804586,0.34626722,0.047147926,0.03159861,-0.6074984,0.057685353,-0.30999377,0.008928353,-0.104332015,-0.004982485,-0.3858556,0.060241934,1.0695921,1.6270288,-0.0063765217,0.0148589,-0.30567345,-0.3162862,-0.09750007,0.9650158,1.6147026,-0.018741809,0.01991254,-1.37782,0.6201772,0.8530811,1.1334659,0.59966886,0.70082664,-0.96895015,-0.6519391,6.507818,0.4499027,-0.23655732,0.5373109,1.1734754,1.5025342,-0.64228386,-0.3296378,1.8072805,-0.0077384524,0.01810335,-0.044150963,-1.6441264,0.9750915,-1.0908579,-1.1679196,0.00022443585,-0.016032133,0.00022964399
147,-0.20623311,-0.01925914,0.021643858,-0.0958692,0.18921708,0.35064512,0.0369094,0.024750821,-0.53996396,0.06107375,-0.31387705,0.01496606,-0.09194445,0.010277609,-0.39220116,0.058788832,1.0907727,1.6268467,-0.0062383604,0.014636414,-0.32032588,-0.30792207,-0.10974281,0.95477164,1.6145401,-0.018735941,0.020048238,-1.4495445,0.7020797,0.97319114,0.87237465,1.007839,0.27047697,-1.0628585,-0.7219013,6.8942904,0.27202788,-0.48551306,0.64934087,1.2773163,1.5440805,-0.62437946,-0.031659324,2.3103166,-0.02225459,0.011752047,-0.012019209,-1.3496622,0.7439514,-1.3120513,-0.93054533,-0.023197297,0.007963334,0.018979385
148,-0.21942727,-0.012191978,0.030942239,-0.08759922,0.19636902,0.3532091,0.026052093,0.016955175,-0.46971372,0.064600565,-0.31749165,0.0218692,-0.07839672,0.025048098,-0.39903352,0.05941132,1.111529,1.6268203,-0.0060997503,0.014377554,-0.33505583,-0.30225953,-0.1209917,0.9484871,1.6145357,-0.018702112,0.020209502,-1.244486,0.73907405,0.93573487,0.77628857,0.6663893,0.23424529,-1.1213129,-0.7996571,7.101751,0.48389584,-0.29213408,0.7461753,1.413915,1.4258778,-0.7283891,0.11501616,1.9315058,0.006327804,0.014423307,-0.031039366,-1.5446727,0.45823744,-1.0047947,-0.4486229,0.009924221,0.0015679463,0.014020336
149,-0.23191066,-0.0036835042,0.041138828,-0.08103665,0.20641343,0.35422036,0.014090788,0.009244574,-0.3978832,0.07140287,-0.32061,0.030867545,-0.06335104,0.038379557,-0.4079103,0.061860282,1.1306335,1.6267884,-0.005971523,0.014141105,-0.3493047,-0.29838973,-0.1303005,0.94314647,1.6146872,-0.018636867,0.02028372,-1.2692183,0.9071139,1.0473413,0.5966596,1.1635326,0.014284191,-1.2216287,-0.7467618,7.214828,0.7941015,-0.33202514,0.98476505,1.5475086,1.2710656,-0.9860804,0.32311594,1.8945756,-0.007267289,0.01184634,-0.019546261,-1.3515661,0.3355119,-0.8903428,-0.5804528,0.017059071,0.008593883,0.004362156
150,-0.24454796,0.0045936476,0.050643444,-0.075253084,0.21515028,0.3537446,0.002867887,0.0015478891,-0.32583365,0.080515444,-0.32363686,0.040243432,-0.04785977,0.049809095,-0.4172999,0.06355597,1.1505837,1.6266687,-0.0057775453,0.014068684,-0.3644553,-0.29633492,-0.13857338,0.94125926,1.6148183,-0.01861541,0.020356756,-1.264277,0.7777153,0.91986245,0.5266048,0.84731686,-0.100462,-1.051088,-0.7750458,7.180843,0.97239417,-0.2963751,0.9007186,1.5428314,1.0651668,-0.9041573,0.080262266,2.044188,-0.013766003,0.022068044,-0.0016995055,-1.6170797,0.12044715,-0.7905445,0.049232956,0.01095556,-0.0006505438,0.007936404
151,-0.2575264,0.012422313,0.06043405,-0.0720485,0.22782207,0.35166705,-0.0070094974,-0.0058634183,-0.25572246,0.09114985,-0.32740545,0.049565457,-0.03232182,0.06021756,-0.4273356,0.06462036,1.1708405,1.6263564,-0.005517963,0.014064028,-0.3790403,-0.29536214,-0.1457653,0.9403825,1.6149164,-0.018650642,0.02038696,-1.3093772,0.77087903,0.9925067,0.17346002,1.4822719,-0.25178447,-0.92526954,-0.71846396,6.8312907,1.1384709,-0.4270511,0.93661785,1.5462886,1.0269271,-1.0636903,0.12419687,2.0087993,-0.03804039,0.026914079,0.0001029059,-1.3600807,0.078428894,-0.6805036,-0.16629566,0.009015052,-0.0046877274,0.00091193186
152,-0.26720172,0.017940518,0.06957732,-0.07330636,0.23852877,0.35154387,-0.013907206,-0.013879234,-0.19149503,0.103663705,-0.32938507,0.056817,-0.01743276,0.070630275,-0.4385754,0.06889542,1.1909865,1.6258371,-0.0051769083,0.014124148,-0.3934879,-0.294926,-0.14978346,0.93796194,1.6152332,-0.018788448,0.020354262,-0.6594385,0.4004896,0.9082648,-0.44224805,1.05808,0.17244577,-0.52631503,-0.8529435,6.1265607,1.3183401,-0.01102182,0.56130695,1.4474236,1.0551952,-1.1424599,0.6231064,1.9840473,-0.056248445,0.036663517,0.008278213,-1.5050342,0.02592489,-0.2403269,-0.30800483,0.04108346,-0.017225249,-0.0050103944
153,-0.27426386,0.020777375,0.07853827,-0.080565244,0.25186512,0.35208148,-0.01752119,-0.022569515,-0.13547419,0.11450449,-0.3309282,0.06129223,-0.0037592014,0.08414341,-0.45055407,0.07668395,1.2067726,1.6250893,-0.004552359,0.014283886,-0.40741318,-0.29213777,-0.15601973,0.93351555,1.6157303,-0.018682962,0.020304559,-0.88911,0.20210642,0.8198656,-0.76337177,1.26017,-0.08625799,-0.24810515,-0.87254333,5.170708,0.78620106,-0.33501068,0.37863696,1.3017473,1.5588144,-1.2349628,0.8791122,1.3223563,-0.08057624,0.07216011,0.019404633,-1.30492,0.43914482,-0.8534889,-0.52642787,0.051727332,0.0222248,-0.004630247
154,-0.283043,0.021627894,0.08540467,-0.08787561,0.26221734,0.35302764,-0.018533885,-0.0304143,-0.09182048,0.117541775,-0.3332763,0.06408207,0.008906412,0.09782417,-0.46411556,0.083400466,1.220124,1.6245842,-0.0037024484,0.01436712,-0.42151955,-0.28673834,-0.16414405,0.928773,1.6164068,-0.018266486,0.02021816,-0.7880677,-0.0035502762,0.60833585,-0.68189204,0.86451364,0.30665025,-0.015571153,-0.70443517,3.8290935,-0.057986133,-0.071285166,0.19675331,1.2612712,1.2335495,-1.4300569,0.54488736,1.3235663,-0.03542836,0.087830625,0.002868797,-1.4895347,0.60825765,-0.7882832,-0.4535423,0.0726768,0.049049042,-0.010291894
155,-0.29148826,0.021490974,0.09159015,-0.09343272,0.27099186,0.35750937,-0.01852122,-0.035834245,-0.060715094,0.11245237,-0.33290225,0.0656065,0.021413011,0.11007484,-0.47759113,0.08827832,1.2290096,1.6242459,-0.003117094,0.014499384,-0.43391183,-0.2786211,-0.17500663,0.9202367,1.6170285,-0.01764191,0.02024348,-0.9606987,0.02125257,0.6292262,-0.41142395,0.89781547,0.49729022,-0.0168784,-0.41895556,2.6494033,-0.7435329,0.07862326,0.16164896,1.2247506,1.2178292,-1.2900727,0.4537123,0.6031471,-0.031957693,0.04336297,0.017833464,-1.0741677,0.9409879,-1.2723461,-1.1067822,0.055334408,0.06596418,0.0085688345
156,-0.3033565,0.021777406,0.09695126,-0.09488771,0.27835312,0.3625388,-0.018477816,-0.038807746,-0.040398724,0.103992306,-0.3316637,0.06675609,0.032841254,0.12128621,-0.48896638,0.09337291,1.2336433,1.6238439,-0.0029073507,0.014839996,-0.44282115,-0.2707972,-0.18491861,0.90743434,1.6173465,-0.01709339,0.02034925,-1.3142686,0.020948688,0.47506538,0.010430641,0.6165388,0.5031992,0.025629207,-0.24534468,1.6473224,-0.8341002,0.16600347,0.07156995,1.0911193,1.0532714,-1.0334873,0.5462881,0.3743751,-0.042562656,0.010274267,0.040407762,-0.7791738,0.68194807,-0.8273744,-1.382423,0.020425526,0.04834687,0.011405976
157,-0.31801692,0.021109084,0.1005784,-0.09313778,0.28314954,0.36713073,-0.017124137,-0.041081764,-0.028676942,0.09690344,-0.32915926,0.06575516,0.042521883,0.13003795,-0.49592158,0.09661634,1.2365475,1.6233081,-0.002777836,0.015247259,-0.45032483,-0.26745185,-0.1901044,0.89212173,1.6175227,-0.016672647,0.02035334,-1.5496782,-0.13757712,0.2987299,0.23751141,0.4057577,0.405743,0.21732835,-0.23284118,0.88644606,-0.60820526,0.2947846,-0.22994976,0.8890819,0.7633659,-0.47518182,0.19457145,0.24032784,-0.05695074,0.013461608,0.03967769,-0.7380747,0.10977994,-0.3399597,-1.612942,0.016011735,0.03826048,-0.0042629186
158,-0.33364666,0.019245101,0.10317958,-0.09119308,0.286108,0.3705895,-0.014413848,-0.043486487,-0.023710404,0.09245815,-0.32545024,0.0623203,0.050656144,0.13655773,-0.49914178,0.0973579,1.2383968,1.6228563,-0.002569023,0.015554709,-0.45852602,-0.26701215,-0.1941853,0.8776671,1.617647,-0.01637325,0.020287627,-1.5382273,-0.21063536,0.23853627,0.12986983,0.22579558,0.31564283,0.29888538,-0.24305816,0.25037873,-0.35152993,0.4317352,-0.41215813,0.7679616,0.57740885,-0.22529125,0.0011384233,0.15312926,-0.038525708,0.023379806,0.025804263,-0.87292004,0.001020565,-0.45014396,-1.3385835,0.010395184,0.025227824,-0.0075733126
159,-0.3482645,0.017459784,0.105722785,-0.09147978,0.28695378,0.37319797,-0.01179494,-0.0458937,-0.024494959,0.090087846,-0.32049412,0.05829508,0.05807331,0.14248718,-0.50226575,0.09768792,1.2393631,1.6226457,-0.0022981677,0.015685681,-0.46821925,-0.2654675,-0.19902705,0.8670027,1.6176926,-0.016258337,0.020198647,-1.4087387,-0.15224497,0.25666422,-0.1326813,-0.013345692,0.22545981,0.23737398,-0.23274389,-0.28262135,-0.17842318,0.5398734,-0.390587,0.7202421,0.5991372,-0.37072307,0.0486306,0.06631997,-0.01249063,0.027893309,0.007050159,-1.0302863,0.2538919,-0.4987534,-0.8931693,0.001687543,0.004977476,-0.009498158
