Timestep,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l
559,-274.92563,-46.28125,-11.213486,-45.00401,-33.62178,-23.7639,-26.854864,-3.2008088,-7.315727,-4.691365,-0.05670375,-0.16027865,-0.015532417,-0.22833736,-0.61804,-23.707066,-40.165596,-0.0095002735,-0.051947676,-4.9097133,-12.740992,-5.998781,-3.7307982,-0.97436225,-1.8717998,-0.5018076,-3.3988416,-164.36133,-339.7231,-336.55087,-621.46,-5.5506163,-1.5451576,-0.85730124,-0.43117073,-1.463381,-16.588009,-10.261475,-0.0021465882,-1.1666583,-3.3768554,-10.687589,-1.0919812,-6.393491,-0.38819858,-59.560688,-1.0340005,-0.46039242,-0.39553967,-1.8966486,-2.8590357,-3.9156778,-51.357376,-9.036596,-71.76098,-28.963493,-25.34454,-6.1228127,-0.008896174,-8.292056,-6.9097505,-8.8166824e-05,-7.648526,-7.686944,-0.003465434,-170.0802,-176.8814,-58.4466,-7.9917274,-38.555347,-299.83832,-45.604843,-78.30047,-67.57706,-18.251019,-6.671461,-57.335278,-35.359947,-0.6452186,-0.9420629,-141.46979,-1.7013055,-12.288545,-1.7882042,-58.761456,-4.3109307,-185.58815,-357.4896,-6.733797,-146.00125,-54.25514,-80.52949
560,-285.9996,-46.71961,-9.838139,-46.138714,-34.47126,-24.074615,-25.126274,-2.8992116,-6.708141,-4.194412,-0.05000334,-0.14072198,-0.013553992,-0.19811876,-0.5365649,-21.976885,-40.22861,-0.008345978,-0.0459959,-4.278799,-10.996586,-5.1442347,-3.2800288,-0.85764736,-1.6403784,-0.44344682,-2.9527593,-188.31021,-316.9396,-313.18677,-581.9075,-4.8883057,-1.3571641,-0.74283916,-0.36628085,-1.2446983,-15.446565,-12.184746,-0.0018619703,-1.0026616,-3.5330677,-11.36219,-1.0614822,-5.535357,-0.3384988,-62.702984,-0.8893786,-0.39583135,-0.3407432,-1.8930019,-2.5446959,-3.6005504,-44.65261,-8.936685,-71.869194,-28.403181,-25.285473,-5.458247,-0.007917026,-7.932408,-6.7763977,-7.934549e-05,-7.2012553,-7.1282067,-0.0030865273,-168.26018,-174.8855,-60.279095,-8.277993,-37.452858,-285.8927,-48.067318,-77.008545,-61.89663,-16.373995,-5.973203,-51.040478,-31.009346,-0.56906986,-0.83368737,-133.01198,-1.4893122,-10.72825,-1.6014688,-55.94947,-4.075399,-180.07545,-314.3095,-6.0063767,-140.63312,-49.03937,-77.33057
561,-300.3082,-50.03962,-8.797665,-47.547386,-35.75647,-25.083958,-21.833263,-2.544937,-5.853492,-3.6941955,-0.04411431,-0.12279437,-0.011715806,-0.16846234,-0.45788196,-20.483719,-40.3761,-0.007302597,-0.04031671,-3.7504294,-9.513648,-4.361223,-2.8865733,-0.7556414,-1.4277598,-0.38941795,-2.6310983,-189.5273,-311.81485,-308.24432,-575.1359,-4.3159523,-1.2023156,-0.6683266,-0.33186737,-1.1247406,-15.528189,-10.385406,-0.0016603088,-0.8999907,-3.313258,-10.477091,-0.9390391,-4.710756,-0.29233485,-60.16869,-0.7574839,-0.33636215,-0.289134,-1.893988,-2.266531,-3.3098025,-39.00504,-8.96031,-75.856094,-28.542522,-25.454828,-4.958183,-0.0070263497,-7.763416,-6.8575625,-7.121445e-05,-6.382121,-6.3231635,-0.002739567,-184.27582,-186.1801,-62.929516,-8.768712,-35.89423,-283.7711,-42.880295,-71.87669,-55.611504,-14.6736145,-5.343112,-45.357388,-27.141508,-0.5002329,-0.7353319,-128.6343,-1.3019066,-9.34912,-1.4453316,-54.516903,-3.9200308,-166.15157,-278.6935,-5.294133,-137.49232,-44.161198,-72.83672
562,-293.73618,-47.561672,-7.263243,-46.687897,-34.632263,-23.369637,-20.704187,-2.3251836,-5.408753,-3.3155892,-0.03888501,-0.10978905,-0.010491195,-0.15250182,-0.41163823,-19.321732,-39.65412,-0.006509309,-0.036061645,-3.1872673,-8.048108,-3.7446814,-2.5521095,-0.66856205,-1.2514899,-0.33745804,-2.1125078,-178.80399,-283.64285,-276.86285,-522.7072,-3.6658356,-1.0130357,-0.49772185,-0.2611351,-0.8958385,-13.751619,-18.684025,-0.0014058214,-0.7420337,-3.7325363,-12.84375,-1.0324312,-4.168969,-0.25875863,-62.912807,-0.67412806,-0.30031085,-0.25890848,-1.8965977,-2.0196881,-3.0392308,-34.20219,-8.946825,-73.57028,-26.923325,-24.529024,-4.3648744,-0.006219786,-7.847227,-6.5880327,-6.353937e-05,-6.206341,-5.764956,-0.0024239027,-185.9074,-186.93733,-61.89743,-8.89326,-36.29814,-270.2283,-38.03481,-66.0253,-48.89982,-13.1374855,-4.7757854,-40.248775,-23.727858,-0.43931392,-0.6473829,-126.51232,-1.1397736,-8.16047,-1.3201075,-53.521202,-3.7748988,-153.8865,-235.11407,-4.729387,-133.86378,-47.925964,-66.47301
563,-319.89526,-48.814518,-6.962949,-49.331276,-38.409496,-26.51405,-26.019451,-1.9637752,-4.432882,-2.8981209,-0.03452162,-0.09426826,-0.008767209,-0.12096626,-0.33085683,-17.011007,-40.98255,-0.0056419466,-0.031220617,-2.8290074,-6.9481015,-3.0142329,-2.259938,-0.5928571,-1.0822726,-0.2982035,-2.0960605,-162.42522,-258.75537,-251.28522,-478.81082,-3.3566847,-0.935254,-0.513436,-0.2514516,-0.852764,-17.844774,-14.906957,-0.0012762988,-6.094619,-3.1515477,-10.478973,-0.82052016,-3.3682358,-5.3751254,-87.56741,-0.5596593,-0.24207911,-5.6657047,-1.8956836,-1.7999219,-2.784581,-30.081406,-8.599831,-75.82364,-25.14785,-24.002184,-3.9103487,-0.00548189,-8.223834,-6.5088124,-5.6820507e-05,-22.4533,-37.79449,-0.0021279778,-182.65906,-183.57391,-62.88028,-9.166678,-33.769627,-247.83356,-39.87456,-59.786697,-41.977337,-11.754978,-4.26664,-35.68183,-22.083845,-0.3856965,-0.5694732,-113.30708,-0.99889386,-7.131994,-1.1843368,-48.687466,-3.3931453,-255.80046,-213.96701,-39.07009,-140.55817,-108.494675,-58.539757
564,-329.64734,-50.553616,-6.7357087,-49.80197,-40.122604,-30.635624,-24.06707,-1.7059691,-3.8492846,-8.574697,-1.4019263,-0.07992774,-0.007388213,-0.09893187,-0.2772404,-14.766127,-43.27428,-0.0048427894,-0.027075436,-2.5876544,-6.2805934,-2.6457582,-60.68168,-39.341347,-0.9440934,-0.2655096,-1.9791436,-190.67964,-228.83028,-219.73134,-419.86664,-2.9607263,-2.7588582,-0.4603582,-0.22693516,-0.78344184,-17.542105,-15.560764,-0.001136161,-6.002116,-2.923947,-9.965696,-0.68831575,-2.825915,-4.8704805,-78.86601,-0.4805589,-0.20306684,-8.180604,-1.8807715,-1.6038238,-2.5436623,-28.88921,-8.206385,-73.11442,-22.416313,-22.685019,-3.4956884,-0.0048551387,-8.015828,-6.2417545,-5.0631294e-05,-21.979902,-37.806774,-0.0018756288,-170.72894,-172.20047,-59.393276,-8.280081,-27.278885,-213.49945,-33.542473,-53.245045,-35.045723,-10.506152,-3.808187,-31.590614,-20.751627,-0.3350928,-0.49581873,-105.79568,-0.87003505,-6.1798244,-1.0871148,-45.293095,-3.0939026,-244.87956,-457.0804,-35.095917,-168.23653,-91.63784,-52.7959
565,-285.91763,-47.711395,-5.7824645,-44.725727,-36.909634,-29.503195,-25.421524,-1.5638472,-3.6329718,-21.115803,-1.4187295,-0.07173838,-0.0067664045,-0.09451081,-0.26156953,-13.514493,-40.86002,-0.00430834,-0.02420091,-2.2779267,-5.83937,-2.49624,-73.512596,-47.442345,-0.8515611,-0.23539239,-1.720898,-184.79451,-191.54741,-182.7225,-352.81613,-146.6083,-38.31658,-415.14307,-48.864502,-2.3840818,-13.468405,-19.147694,-0.0009274774,-26.977688,-3.4019814,-11.693407,-0.7861224,-21.370237,-4.41257,-76.19686,-0.44480127,-0.1893211,-11.639833,-1.8415262,-1.5481935,-26.716713,-55.829285,-7.7739425,-63.69503,-18.984894,-20.431078,-3.0572295,-0.0042790044,-9.54626,-5.419525,-4.4991673e-05,-21.763779,-36.756577,-0.0016453816,-154.85194,-154.43672,-50.353214,-7.2221766,-25.560936,-174.24892,-27.008942,-46.48563,-28.300583,-9.362911,-16.401707,-135.2267,-50.45981,-0.26450288,-0.3889077,-112.68304,-0.72795147,-10.656557,-1.1484671,-47.584812,-3.2861521,-225.5243,-498.82556,-32.588924,-156.94203,-83.35679,-64.10672
566,-240.7533,-41.338474,-4.591226,-40.18061,-32.91267,-26.098736,-73.28205,-18.16765,-24.61618,-71.09692,-2.0632322,-0.066308774,-0.0062205326,-0.08911435,-0.23789497,-11.465167,-39.17109,-0.003942017,-0.021893127,-1.892475,-4.7644997,-2.0339935,-92.75523,-57.77709,-0.7659322,-0.2068917,-1.4128706,-159.60004,-153.46141,-145.62396,-279.85767,-384.03644,-100.63401,-1285.7316,-154.08322,-5.6624813,-21.413267,-13.228487,-0.00086906704,-45.819386,-2.4932203,-8.330473,-0.56647795,-22.554873,-3.9264836,-73.501816,-0.40604234,-0.1739097,-11.916409,-19.15885,-9.423755,-60.990753,-58.112553,-7.1819477,-55.855824,-16.061775,-18.309258,-2.624358,-0.003697926,-10.006465,-4.7050047,-3.99356e-05,-27.281813,-40.514988,-12.031501,-139.48402,-136.82802,-42.953106,-6.720457,-24.811363,-145.30135,-21.432083,-39.75218,-22.039507,-8.29727,-15.545907,-81.07538,-39.671764,-0.19947934,-0.28710687,-119.32724,-0.6080118,-9.547944,-1.1525434,-49.32344,-3.4848866,-209.39192,-430.9443,-70.11724,-129.3711,-76.66926,-111.41478
567,-243.14519,-37.906197,-3.820567,-41.46235,-33.974583,-27.26568,-109.434845,-31.765057,-41.20756,-143.8003,-4.0348105,-0.058504492,-0.005214085,-0.069309056,-0.1844841,-8.5524845,-39.469498,-0.0035017002,-0.019261025,-1.5343672,-3.6326413,-1.3500788,-169.50624,-136.00624,-0.63070846,-0.16407883,-1.1539319,-140.05229,-124.27075,-117.003296,-223.89424,-746.6028,-197.26897,-2009.2638,-266.1724,-13.206722,-26.797943,-12.407348,-0.00075406936,-62.997494,-2.3050327,-7.741265,-0.52877825,-16.794764,-3.0713816,-57.9707,-0.32032233,-0.13306275,-8.858357,-74.67627,-24.743149,-105.69751,-78.01544,-6.551238,-56.0681,-14.755777,-18.423382,-2.4588375,-0.0031788358,-9.268562,-4.5919247,-3.5473837e-05,-24.918722,-37.584705,-23.238174,-129.44661,-124.72908,-43.20092,-7.3179107,-19.576464,-124.89468,-17.032673,-33.362198,-16.568644,-7.3452,-13.67527,-66.0413,-33.8748,-0.41577095,-0.24688697,-115.4803,-0.5316909,-8.401187,-1.0258389,-45.652172,-3.4847295,-215.02388,-413.57794,-83.007095,-123.013405,-53.870403,-100.01748
568,-279.95367,-40.76,-4.032327,-44.80298,-37.713627,-32.08262,-128.89342,-31.413456,-40.187458,-275.67496,-12.439294,-0.04661002,-0.004119118,-0.050337642,-0.1440096,-7.4135537,-52.023254,-0.0028851654,-0.016298281,-1.4857227,-3.4709105,-1.1958438,-387.49512,-389.47522,-0.49948305,-2.9348009,-1.1857593,-122.186035,-109.76054,-105.32137,-195.74492,-905.16394,-238.3739,-1776.6421,-241.95465,-12.390671,-24.533688,-11.596241,-0.0006543008,-59.517643,-2.1240141,-7.1690745,-0.4916289,-12.874263,-2.5250854,-46.83013,-0.25466013,-0.10314012,-6.4973044,-76.50539,-24.51598,-105.45097,-73.24075,-5.64064,-66.64722,-14.725637,-28.577877,-7.84111,-11.076054,-6.8926854,-7.3451805,-2.2988276,-21.60723,-35.703438,-42.147686,-114.643326,-110.09971,-44.592186,-7.304005,-15.123982,-102.33266,-14.320986,-27.64456,-13.093048,-6.5023637,-12.038803,-58.11463,-30.24378,-3.8221576,-3.3381538,-104.82287,-3.738681,-7.9773264,-0.90102476,-39.470993,-3.126346,-306.4967,-465.45972,-63.75105,-126.30588,-40.551502,-91.90162
