Timestep,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l
0,-223.26434,-154.75883,-138.81696,-48.335773,-46.680614,-47.51117,-175.52151,-14.9869,-117.932304,-217.57635,-6.1148663,0.0,0.0,0.0,0.0,0.0,-76.34807,0.0,0.0,-52.05835,-80.87033,0.0,-11.175411,0.0,0.0,-5.973578,-30.756207,-103.8398,-0.061464924,-4.6107354,-0.31443006,-201.19223,-58.294296,-375.99194,-137.4005,-30.09183,-10.009769,-121.57325,0.0,-15.994114,-14.87212,-44.98655,0.0,-447.38525,-161.09491,-27.979956,-95.731544,-91.91572,-59.86947,-78.04342,0.0,0.0,-157.46288,-17.133589,0.0,0.0,0.0,0.0,0.0,-64.219154,0.0,0.0,-23.79955,-55.873,0.0,-99.831635,-50.15867,0.0,0.0,-2.9171963,-72.01821,-19.027533,-46.436394,-29.352654,-106.175804,-20.491234,0.0,0.0,0.0,0.0,-177.62263,0.0,0.0,0.0,-26.851315,-11.986009,0.0,-1353.8168,0.0,0.0,0.0,-132.28911
1,-234.27158,-128.89708,-100.42312,-49.87882,-48.19216,-40.933193,-230.18674,-20.444311,-119.55307,-213.94713,-5.856866,-242.57141,-127.33171,-76.273895,-61.32657,-52.23117,-71.16303,0.0,-21.85575,-43.342075,-66.11133,-33.19208,-214.02364,-297.68698,-25.561749,-4.2260485,-17.805323,-97.99946,-0.040575013,-4.278465,-0.2542759,-1083.8191,-294.70734,-2576.9436,-296.46228,-45.522247,-55.09805,-90.75235,-28.026709,-68.841896,-11.378933,-34.262474,0.0,-256.22342,-129.39569,-26.586594,-64.36377,-62.846924,-44.569523,-79.086426,-49.9946,-61.17816,-145.5751,-16.758074,-139.98216,-68.607925,-71.31489,-29.7696,-43.07753,-45.841446,-20.63218,-14.059634,-22.52887,-53.809227,-31.209616,-255.68306,-275.16132,-41.39248,-8.001294,-3.0738223,-212.10175,-88.0686,-89.11109,-260.33542,-100.74912,-19.482103,-251.99489,0.0,-5.0992284,-3.4958925,-294.59125,0.0,-61.17726,0.0,-89.03498,-15.7343645,-1067.2588,-1103.2074,0.0,-327.28958,-421.5747,-124.47594
2,-248.9795,-120.86804,-105.86559,-49.19088,-55.484783,-51.452087,-242.65692,-18.978981,-108.58632,-200.79065,-5.1989703,-296.173,-149.02122,-73.60506,-63.96158,-56.606506,-61.474316,0.0,-29.76613,-36.66503,-52.884186,-35.8168,-338.45782,-455.93704,-29.290237,-5.1231837,-26.886377,-87.00532,-0.017747661,-3.8025935,-0.17740637,-1310.1171,-356.25848,-2764.759,-280.66394,-39.986774,-67.75952,-79.633095,-35.036556,-68.013145,-9.950163,-29.936815,-6.0316973,-108.83645,-78.27103,-16.747343,-35.84521,-31.715244,-19.391851,-72.40536,-74.316185,-79.00978,-126.32847,-15.10726,-240.66377,-119.312164,-106.935905,-48.34516,-72.83162,-27.097092,-36.17251,-20.87917,-17.23847,-43.23921,-45.775433,-419.67203,-447.68478,-54.267895,-8.424274,-1.7804486,-278.8204,-104.23438,-86.40274,-336.79553,-87.742615,-17.260653,-287.34894,0.0,-5.337737,-5.9052005,-394.8944,0.0,-65.12974,0.0,-137.30916,-17.2765,-1131.1956,-937.57166,0.0,-528.8231,-473.31744,-116.75848
3,-240.02707,-108.8414,-109.06168,-45.832283,-53.59404,-51.075195,-235.57428,-37.680725,-100.680786,-221.36475,-4.63206,-258.3577,-131.5543,-58.636257,-53.82693,-50.455715,-51.751503,0.0,-28.176506,-31.799788,-44.437344,-31.548967,-401.79895,-473.5351,-28.360863,-6.572966,-36.740795,-77.5303,-0.003866957,-3.3222864,-0.11178192,-1303.8252,-349.2327,-2494.9712,-284.79523,-34.6505,-63.56553,-71.907265,-33.509792,-64.94761,-8.993068,-27.12916,-6.0213323,-56.49768,-53.033703,-11.616663,-23.002348,-18.986382,-10.012299,-71.868355,-97.44191,-141.01295,-147.74254,-12.868349,-238.83113,-115.06052,-106.41364,-47.610306,-74.87017,-18.958866,-36.721756,-20.25908,-13.662623,-35.127083,-55.35904,-417.76877,-450.6938,-53.5495,-8.407334,-1.1322032,-232.72324,-97.37556,-74.368324,-316.33243,-76.474625,-15.189221,-305.08994,0.0,-5.450978,-6.2885604,-365.83527,0.0,-63.20386,0.0,-125.303,-15.776258,-884.6218,-778.41504,0.0,-558.6844,-363.1202,-101.44454
4,-238.57613,-94.69599,-101.38474,-44.386158,-50.367386,-46.093422,-217.31412,-38.67858,-88.98492,-314.7359,-13.641173,-185.93307,-98.19365,-42.58107,-39.754654,-40.86794,-49.17596,0.0,-23.324974,-27.723593,-38.04468,-25.71576,-493.93906,-527.7116,-25.13795,-7.084379,-35.310074,-69.328285,0.0,-2.9027183,-0.06530312,-1193.0154,-320.36655,-2132.0063,-262.01218,-29.619871,-55.75296,-62.910343,-28.997997,-60.832813,-7.9514103,-23.990759,-5.3553376,-35.33334,-40.32536,-9.841892,-16.308264,-13.106488,-6.4966073,-69.15017,-89.6508,-138.29604,-137.96875,-10.72673,-209.6027,-96.292274,-94.86974,-41.51222,-66.87312,-13.84068,-33.04859,-17.627726,-11.514102,-32.0829,-55.7365,-351.90796,-377.47418,-52.583817,-9.607629,-2.1195328,-189.28476,-89.03977,-65.13151,-274.9557,-66.80693,-13.377606,-262.11728,0.0,-5.150459,-5.808932,-313.47745,0.0,-55.297455,0.0,-107.121216,-13.583386,-646.46893,-640.3384,-65.324486,-443.6422,-238.59598,-86.67269
5,-256.53305,-80.957886,-87.80804,-44.112453,-47.070107,-41.771072,-206.47896,-45.100277,-82.57339,-344.72946,-14.513915,-136.13187,-74.651375,-32.288754,-30.488752,-34.054333,-48.83023,0.0,-19.084066,-24.324863,-33.183685,-21.747137,-501.4068,-521.47174,-21.390179,-6.48136,-30.527159,-62.233604,0.0,-2.58789,-0.03773975,-1058.7126,-289.38483,-1806.3358,-235.81927,-25.845966,-48.347263,-54.14199,-24.826721,-56.073254,-6.9230757,-20.866238,-4.682212,-29.324762,-33.7727,-19.440939,-13.509169,-10.84808,-5.381375,-114.04793,-81.24079,-135.17703,-131.96336,-9.075895,-175.05557,-79.32072,-82.207565,-35.538704,-57.64389,-10.853985,-28.623213,-15.088167,-10.644819,-35.41953,-53.95379,-276.53345,-296.27777,-50.75861,-9.460751,-8.038389,-151.158,-80.912445,-57.35224,-238.05034,-58.441776,-11.784644,-222.42418,0.0,-4.9853354,-5.4127254,-267.40973,0.0,-47.635666,0.0,-90.28457,-11.644136,-526.96625,-526.08624,-65.399185,-350.72916,-162.9363,-74.562126
6,-277.89044,-67.6741,-73.89169,-44.12084,-44.208134,-38.565,-190.08366,-44.459755,-75.09109,-338.75104,-14.606235,-108.983154,-61.040054,-27.395273,-25.352415,-28.954058,-50.86748,0.0,-16.007149,-20.73779,-28.20156,-18.52177,-491.63223,-502.9195,-19.046436,-5.8741045,-26.58372,-56.340023,0.0,-2.363898,-0.02230287,-929.34424,-261.4856,-1524.6499,-213.45102,-22.775131,-42.329567,-46.17513,-21.43974,-51.25215,-5.9734755,-17.97429,-4.0522017,-31.026386,-30.273722,-31.461533,-13.0975,-10.686163,-5.4904327,-125.39494,-75.10816,-134.50548,-122.4726,-7.829381,-145.65593,-66.07379,-71.95051,-30.575195,-50.87527,-9.978912,-24.643337,-12.965055,-13.801483,-53.154846,-55.18089,-221.1609,-235.3294,-49.776875,-9.234348,-9.788456,-125.96758,-72.98616,-50.191734,-206.79213,-51.191113,-10.384732,-194.75702,0.0,-4.977492,-4.941209,-236.87465,0.0,-41.359623,0.0,-78.82343,-10.059408,-431.47577,-434.837,-62.45737,-289.7449,-122.32106,-64.479706
7,-310.74936,-54.941303,-60.265755,-51.711357,-42.067997,-36.777195,-164.80484,-41.677444,-64.21413,-325.26334,-14.904419,-95.5893,-53.592697,-26.103771,-22.723099,-24.704725,-60.71115,0.0,-13.7622385,-16.891947,-22.880419,-15.506355,-486.19052,-490.31808,-18.166313,-5.439492,-23.20008,-51.675175,0.0,-2.2108645,-0.013909968,-837.4679,-241.05728,-1338.7787,-196.2468,-20.468153,-37.67284,-39.02501,-18.647358,-47.148033,-5.1117706,-15.344739,-3.4742992,-36.645863,-28.46448,-36.385597,-13.984568,-11.780838,-6.4704714,-170.5306,-70.56975,-152.647,-113.78088,-6.9806247,-124.64895,-55.533756,-64.73752,-26.75037,-46.15008,-10.851178,-21.351994,-11.148238,-17.380678,-62.97451,-67.07129,-186.13036,-196.7558,-51.296963,-8.688934,-11.57497,-112.36771,-65.44398,-43.59818,-179.90097,-44.908985,-9.157156,-179.97964,0.0,-4.826185,-4.4761424,-223.75592,0.0,-36.346992,0.0,-72.816574,-9.075227,-372.1564,-415.78412,-56.84514,-245.02847,-96.51403,-86.472565
8,-325.6628,-47.257015,-49.16134,-57.91551,-41.6861,-34.14113,-148.05257,-38.36164,-56.393513,-301.20676,-14.4907,-85.39003,-48.95511,-26.35577,-21.723043,-22.611818,-65.73965,0.0,-11.950154,-14.286583,-19.675484,-14.842044,-467.77496,-467.08212,-16.948874,-5.037877,-20.055054,-49.517857,0.0,-2.1288528,-0.010171594,-744.82526,-219.56282,-1135.7256,-173.98834,-18.5057,-33.840878,-35.328926,-16.335524,-42.000507,-4.3199987,-14.002503,-2.9372957,-46.186493,-29.116434,-49.7448,-15.514293,-13.833749,-8.75851,-205.98438,-67.01866,-163.71532,-112.87323,-6.3893237,-106.5449,-46.167477,-57.805748,-23.343054,-41.57626,-11.658865,-17.815098,-9.50651,-19.213974,-71.583,-64.123795,-150.81871,-161.83759,-52.334335,-7.070727,-17.323124,-98.88503,-59.58037,-38.45314,-159.70769,-39.460598,-8.081382,-169.90103,0.0,-4.4271417,-4.2098894,-207.43759,0.0,-32.14006,0.0,-65.06317,-8.03493,-328.11774,-1096.0078,-57.6876,-224.1484,-96.936195,-80.19236
9,-292.95544,-41.161995,-39.390373,-56.19184,-41.256264,-29.07607,-134.24892,-35.844807,-51.36437,-274.35312,-13.746105,-78.573074,-46.584244,-27.961874,-21.808666,-20.905949,-63.900005,0.0,-10.557126,-11.961094,-16.798275,-14.662159,-438.35236,-429.52255,-15.661639,-4.5645475,-17.21995,-46.020664,0.0,-2.1222954,-0.009896755,-675.5244,-203.73369,-985.86444,-153.5352,-17.017859,-30.900625,-32.739822,-14.354599,-37.1448,-3.6332977,-12.595004,-2.4685507,-56.377586,-29.725796,-80.6462,-17.274029,-16.145987,-12.043842,-349.68942,-80.493546,-266.4201,-142.27629,-5.9426093,-86.36548,-36.885506,-48.258743,-19.137358,-37.962006,-13.122099,-14.368317,-7.988648,-31.948866,-100.54996,-69.18448,-126.46463,-135.81615,-44.18832,-5.3192863,-30.86751,-91.16098,-54.281166,-34.078632,-142.43927,-34.718575,-7.1367717,-171.55962,0.0,-4.1112275,-4.1862116,-208.09708,0.0,-28.88034,0.0,-59.023705,-7.238868,-326.20264,-1147.985,-57.964424,-194.80229,-97.38149,-67.41388
10,-268.32056,-38.553864,-33.352047,-52.353863,-38.82127,-26.823853,-112.94095,-31.885666,-43.068615,-246.17181,-13.034576,-67.83983,-40.766937,-25.065159,-19.507704,-18.324999,-61.65383,0.0,-9.112491,-10.191189,-14.357178,-13.168386,-422.76245,-405.54437,-13.747703,-4.025966,-15.081509,-43.453133,0.0,-2.195685,-0.013177867,-626.0824,-191.0573,-909.7747,-138.81656,-15.951106,-28.50536,-28.9347,-12.647529,-33.58364,-3.043565,-10.6184845,-2.064347,-53.58094,-39.80056,-126.9254,-16.211916,-15.9859,-17.468283,-424.10046,-84.16375,-311.0878,-155.71654,-5.589338,-69.85982,-30.12522,-37.964687,-15.338965,-34.587784,-13.387184,-12.01771,-6.7188034,-49.362335,-134.29782,-64.44103,-108.21848,-115.76928,-35.73659,-4.3789907,-40.426743,-85.30644,-50.58921,-31.397957,-130.37242,-30.601742,-6.3102775,-174.72906,0.0,-3.926844,-4.0824113,-217.93217,0.0,-26.51648,0.0,-60.674744,-6.740984,-613.22375,-1111.7634,-50.849487,-166.36595,-80.558136,-57.0537
11,-263.28564,-35.563957,-29.098442,-50.620533,-37.831734,-25.740864,-96.34875,-28.35131,-36.07768,-227.63445,-12.523853,-57.5758,-34.9077,-21.718796,-16.920855,-16.081186,-60.53647,0.0,-7.8061876,-8.913874,-12.614002,-11.799301,-452.9327,-435.17697,-12.0781555,-3.5560968,-13.28107,-68.14013,0.0,-2.362115,-0.022195382,-616.44666,-185.44319,-863.11255,-127.640335,-14.9056,-26.332907,-25.182821,-11.156082,-30.585981,-2.5481086,-8.823835,-1.7240695,-48.924957,-42.530518,-144.01337,-14.520258,-15.331601,-22.557074,-465.61755,-83.13999,-313.9106,-203.34288,-5.4367175,-56.724167,-24.995749,-30.038046,-12.652418,-31.001537,-13.396304,-10.108839,-5.674287,-51.72825,-138.58463,-59.211372,-91.439095,-97.5038,-29.868242,-3.8692112,-42.41444,-77.93301,-46.91764,-29.246073,-119.11114,-27.023321,-5.587093,-154.9423,0.0,-3.672599,-3.8247833,-204.8462,0.0,-24.280382,0.0,-56.623646,-6.8489223,-632.30505,-1171.087,-44.51229,-162.50073,-71.62331,-49.677505
12,-258.05014,-32.475315,-25.240108,-49.962463,-37.0103,-24.492197,-84.01814,-25.734905,-30.245993,-223.30322,-12.3057995,-49.265514,-30.06479,-18.912212,-14.737836,-14.091708,-63.88024,0.0,-6.719299,-7.7646627,-11.028239,-10.508446,-524.5645,-511.79105,-10.627782,-3.1439898,-11.687579,-97.642204,0.0,-2.6208587,-0.040301558,-748.9928,-208.22546,-1184.2716,-122.99402,-14.279535,-24.236753,-21.7265,-9.764641,-29.390757,-2.2032356,-7.599801,-1.4900614,-46.419056,-42.556404,-147.06145,-13.30898,-14.49452,-26.895452,-546.09534,-93.796165,-330.95724,-262.84567,-5.332163,-46.406105,-20.822838,-23.88439,-10.461807,-27.249886,-13.669934,-8.538554,-5.1523786,-50.982662,-137.11034,-53.815563,-77.906425,-84.21279,-25.19583,-3.6475115,-43.505356,-71.85693,-43.336098,-27.527782,-108.67823,-24.395067,-7.599554,-136.36163,0.0,-3.3172836,-3.4473956,-176.11166,-1.1833872,-21.83849,0.0,-48.192608,-6.137162,-618.82404,-1338.8466,-38.937065,-166.98209,-64.67278,-43.03789
13,-251.38838,-28.029257,-21.656286,-49.984276,-36.32778,-22.96291,-73.79635,-23.600939,-25.132687,-225.99025,-12.197406,-42.35492,-25.814972,-16.402897,-12.713774,-12.057389,-64.74003,0.0,-5.810429,-6.641309,-9.379967,-8.898613,-582.6398,-570.84985,-9.363286,-2.7806485,-10.247378,-118.59801,-1.1246347e-05,-2.9373448,-0.068732366,-791.02527,-214.89124,-1486.1448,-134.33205,-13.546478,-21.86891,-20.063736,-8.494407,-34.375183,-2.0238457,-7.005167,-1.3750217,-62.25808,-42.155117,-145.09557,-12.754958,-13.595672,-32.13533,-560.8425,-95.54523,-317.5727,-296.65994,-5.189428,-39.035107,-17.706095,-19.697592,-8.811225,-23.255543,-17.62422,-7.35224,-4.840543,-49.06632,-132.20781,-47.698086,-70.35742,-76.31797,-22.11007,-3.7443829,-43.482025,-67.080475,-40.046814,-26.316818,-99.44733,-128.85103,-43.67502,-120.1919,0.0,-2.8372777,-3.4796262,-178.63805,-3.246388,-18.523035,0.0,-46.446503,-6.4204698,-563.37897,-1327.7498,-33.674404,-193.67116,-55.39716,-37.251034
14,-248.71907,-24.178612,-18.902315,-49.99844,-35.874134,-21.950531,-64.933136,-21.313995,-21.266804,-220.67572,-11.960683,-36.457718,-22.26703,-14.280848,-11.046699,-10.492735,-64.27221,0.0,-5.0275702,-5.779534,-8.157511,-7.777216,-585.94434,-575.04083,-8.256034,-2.459319,-9.040769,-149.47983,-0.0034937423,-3.3019087,-0.109284915,-741.76324,-199.36095,-1432.8617,-128.5617,-12.793895,-19.853128,-18.049944,-7.389982,-33.735275,-1.8203336,-6.309219,-1.2403288,-62.720627,-41.98252,-146.4692,-12.106044,-12.798775,-33.027153,-484.16348,-87.93548,-281.1937,-285.74637,-5.0616503,-32.44698,-15.042478,-16.475992,-7.5533023,-20.13016,-20.229868,-6.2554493,-4.5655313,-48.22603,-129.15648,-43.244137,-63.539288,-69.11066,-20.283794,-3.9420016,-44.60861,-61.80351,-37.01714,-25.476274,-91.20844,-155.44708,-52.10268,-84.28369,0.0,-2.232993,-4.6964016,-201.73122,-3.834617,-14.595865,0.0,-49.590134,-7.3441143,-489.4214,-1323.9036,-29.533615,-212.50107,-49.87483,-32.33167
15,-241.32285,-21.622034,-16.474161,-49.133156,-35.291306,-21.520826,-56.995907,-19.136261,-18.056911,-209.2889,-11.481347,-31.460804,-19.237246,-12.446407,-9.607222,-9.132873,-62.82102,0.0,-4.357251,-5.030915,-7.094911,-6.780228,-563.0811,-551.66046,-7.28503,-2.1757958,-7.9704766,-170.52547,-0.015450634,-3.741401,-0.1683611,-715.2268,-186.99269,-1676.3425,-161.05905,-12.340334,-18.838543,-16.121468,-6.431488,-50.134533,-1.6272165,-5.644308,-1.1112543,-61.072563,-39.806946,-142.7865,-11.350844,-11.722989,-32.737926,-390.931,-78.29865,-244.79509,-264.90134,-4.9264274,-27.31722,-12.8853245,-13.968575,-6.5103617,-17.378325,-20.33606,-5.367614,-4.347968,-46.578945,-123.20852,-39.279594,-58.12125,-61.726837,-19.052362,-4.242826,-44.934147,-56.21235,-33.85451,-24.412636,-82.87457,-124.058304,-45.06082,-63.312283,0.0,-1.9391727,-4.1828938,-179.7384,-3.6739447,-12.422453,0.0,-43.98977,-6.95825,-426.72223,-1267.5859,-26.022438,-204.10904,-45.499207,-27.99908
16,-239.70631,-21.918297,-14.263644,-49.41479,-35.740036,-22.908247,-52.93607,-17.346315,-15.598416,-205.02481,-11.177416,-26.99722,-16.446566,-10.697863,-8.218591,-7.829383,-62.58874,0.0,-3.7814565,-4.354028,-6.1005054,-5.6953564,-545.32385,-533.4595,-6.424015,-1.9234504,-6.95951,-201.45302,-0.0359208,-4.194417,-0.23988128,-698.90125,-179.384,-1775.339,-177.52362,-12.336301,-17.604517,-14.87962,-5.557276,-62.09616,-1.490718,-5.190186,-1.0223844,-57.607986,-34.763897,-131.75876,-10.414017,-10.245833,-31.145933,-326.9646,-70.46355,-217.98743,-244.22319,-4.7064157,-24.518112,-11.167626,-12.39238,-5.7212195,-15.540938,-19.81338,-4.633635,-4.8491545,-43.22553,-114.09539,-36.71713,-52.717937,-55.01981,-18.258398,-4.5325336,-43.33232,-50.028347,-30.51844,-22.943592,-74.28304,-116.10372,-42.849907,-49.559643,0.0,-2.1550467,-3.5458941,-152.24596,-4.5181456,-11.560968,0.0,-38.521255,-6.312471,-365.32913,-1308.9578,-22.90015,-193.79393,-42.22069,-24.72246
17,-234.58775,-21.638783,-12.161318,-49.11589,-35.07576,-23.487185,-51.557087,-16.073578,-13.821746,-215.7757,-11.05243,-23.399624,-14.281295,-9.341791,-7.174414,-6.8603525,-62.761734,0.0,-3.3047872,-3.7761517,-5.3005257,-4.9604588,-539.8654,-532.40454,-5.650243,-1.6988513,-5.9904065,-219.16855,-0.062601544,-4.6271176,-0.31754586,-709.6306,-183.42865,-1746.3862,-173.74266,-12.779725,-16.428852,-13.447892,-4.8264084,-61.474957,-1.34359,-4.686241,-0.9239455,-56.553314,-31.21757,-124.17444,-10.030333,-9.19226,-30.766369,-309.76144,-67.06335,-205.82521,-245.41573,-4.5633307,-22.014286,-9.384243,-10.429569,-4.8607597,-14.479083,-19.707693,-3.8898942,-7.2221847,-40.811974,-108.67861,-34.268166,-48.88675,-49.808243,-16.020855,-4.533883,-43.1431,-44.146675,-27.30821,-21.469767,-66.13815,-128.90198,-42.69476,-33.27315,0.0,-2.547617,-3.0551548,-132.00137,-7.0217957,-10.443265,0.0,-34.589287,-5.7554555,-305.81647,-1443.2603,-20.222292,-193.5105,-40.985737,-59.28574
18,-214.26839,-18.543728,-10.226627,-47.292374,-32.31392,-21.082169,-47.39859,-15.511461,-11.83805,-242.01108,-13.623594,-20.7323,-12.676581,-8.373211,-6.4268923,-6.0375543,-62.600292,0.0,-2.9118981,-3.2179246,-4.521632,-4.363295,-609.91425,-599.8073,-5.0025396,-1.5006768,-5.15672,-221.96861,-0.09638748,-5.06687,-0.40514883,-702.5213,-187.65657,-1750.5121,-217.39258,-15.441117,-15.662031,-12.070239,-4.309244,-65.30929,-1.2042588,-4.2049403,-0.8298162,-136.77232,-55.654922,-131.3658,-18.266459,-12.821693,-38.46468,-286.2066,-71.74215,-205.25044,-261.2795,-4.330875,-18.722393,-7.8310876,-8.263569,-3.9146388,-12.947158,-25.74613,-3.3315132,-6.9656777,-44.945633,-114.800415,-30.96016,-46.247265,-44.720043,-13.831856,-4.8460345,-44.31298,-39.6317,-24.360096,-20.195982,-58.737568,-107.433044,-35.75998,-24.577627,0.0,-2.3991761,-3.1964762,-112.557526,-7.8845425,-9.779274,0.0,-30.392199,-5.396105,-267.1399,-1390.3221,-17.825386,-237.86575,-37.014584,-144.22487
19,-209.55644,-16.526848,-9.412324,-47.229378,-31.315458,-20.043552,-39.713905,-14.461301,-9.809145,-252.43575,-15.791513,-17.970682,-11.011575,-7.329555,-5.623756,-5.3110657,-62.892487,0.0,-2.5137708,-2.8755915,-4.0383334,-3.913858,-686.8952,-674.20746,-4.4204597,-1.3267308,-4.7361326,-290.4776,-0.14784537,-5.6201906,-0.5271023,-633.87317,-171.66704,-1760.6927,-262.44446,-19.577011,-19.331163,-10.83035,-3.7750463,-76.04904,-1.0790265,-3.7713377,-0.74485886,-235.92212,-105.037994,-176.18796,-31.382385,-27.722027,-50.607124,-228.0526,-65.167404,-179.314,-252.87463,-4.001028,-16.833027,-6.9561386,-7.3416,-3.376167,-10.884083,-42.07605,-3.0124571,-6.0940194,-59.33447,-130.03134,-26.813292,-42.588352,-40.195614,-14.076886,-5.987727,-48.77407,-35.265686,-21.700636,-19.188732,-52.1114,-91.887375,-31.705591,-20.449596,0.0,-2.3238502,-3.101007,-95.46124,-7.737599,-10.489102,0.0,-26.397276,-5.2929535,-231.09811,-1283.3561,-15.737305,-261.23782,-32.418007,-148.8927
20,-208.28053,-15.03543,-8.733959,-47.15248,-30.82568,-19.461172,-30.820807,-12.566045,-8.123654,-236.26799,-15.74404,-15.412266,-9.474754,-6.329907,-4.862438,-4.6687965,-62.538586,0.0,-2.1544073,-2.6103761,-3.6656067,-3.5162761,-695.49963,-674.3079,-3.8978302,-1.1733526,-4.3126264,-379.96313,-0.23340459,-6.378506,-0.7138341,-539.5608,-146.63853,-1762.1926,-322.66068,-22.212849,-23.28229,-9.717315,-3.2838697,-94.45047,-0.96679515,-3.3818998,-0.6684363,-266.36508,-142.48415,-211.52235,-37.582638,-37.648685,-57.00009,-184.15169,-57.747417,-156.237,-238.02997,-3.7836943,-15.689803,-6.357538,-6.832355,-3.0033708,-9.065468,-55.28816,-2.7911496,-5.314091,-77.77892,-153.82623,-23.08471,-38.539333,-36.276287,-14.328941,-6.7503924,-57.607685,-31.097286,-19.226833,-18.374195,-45.985462,-79.00391,-28.599268,-17.064121,0.0,-2.0566487,-2.7315907,-81.5107,-7.3270783,-10.132575,0.0,-22.979723,-5.7538996,-199.05756,-1263.3441,-13.913436,-244.04727,-28.38456,-206.00471
21,-194.04707,-12.684435,-7.2153907,-44.604237,-27.95496,-16.724817,-24.747026,-11.257673,-6.9023523,-217.97363,-15.335334,-13.47883,-8.3467865,-5.6035714,-4.3187547,-4.1941867,-59.568325,0.0,-1.8639985,-2.2673104,-3.230291,-3.161187,-672.4953,-646.43317,-3.4121006,-1.0367556,-3.6271298,-389.32236,-0.36089778,-7.312262,-0.9725731,-457.66266,-124.85255,-1673.9037,-341.15408,-21.708324,-23.063429,-8.72261,-2.8538902,-100.274155,-0.86672026,-3.03391,-0.6000631,-294.22958,-149.04727,-215.24512,-40.131023,-40.286682,-59.476482,-206.98846,-57.30145,-161.08846,-236.17986,-3.6173558,-13.4058,-5.41154,-5.527712,-2.4865327,-7.8367786,-56.38721,-2.4182856,-4.657127,-81.16928,-156.79478,-20.95438,-33.92412,-31.943829,-11.14778,-6.190895,-57.308342,-26.891617,-16.573051,-17.357555,-39.484123,-11.47879,-6.1497765,-1.1383449,0.0,-1.1193986,-1.3979416,-73.29242,-5.9204326,-7.3994226,0.0,-20.661762,-6.9195457,-178.0773,-1232.8562,-12.325014,-196.95312,-25.247108,-238.43793
22,-194.23546,-11.194574,-6.2987247,-43.57298,-26.308218,-14.873988,-20.34197,-10.653269,-5.74018,-204.71754,-14.762709,-11.583452,-7.232956,-4.8597283,-3.7638505,-3.734634,-57.34535,0.0,-1.5936599,-2.0244026,-2.9126313,-2.8387408,-654.879,-631.39124,-2.9495273,-0.9062963,-3.1164138,-371.3289,-0.5461272,-8.447711,-1.3264545,-364.4108,-102.25631,-1479.6636,-331.82617,-21.54277,-23.629135,-7.847179,-2.4726238,-96.3268,-0.7790781,-2.7283573,-0.5399939,-311.7963,-155.45561,-229.56863,-41.28091,-42.897335,-61.511932,-232.55089,-58.542847,-170.02301,-238.3078,-3.70277,-11.478182,-4.6710877,-4.6507974,-2.1432662,-6.938619,-55.66195,-2.0900867,-4.0797243,-84.80778,-166.65976,-19.087894,-29.459202,-27.748758,-8.74934,-5.473814,-63.86221,-23.223055,-14.440781,-16.457897,-34.28237,0.0,-0.18039295,0.0,0.0,-0.6060304,-0.7068311,-106.397964,-4.8747797,-5.310277,0.0,-19.305332,-9.759009,-156.80968,-1114.469,-10.930681,-179.14006,-22.223957,-186.71938
