{'Mean Episode Return': Array(18.489014, dtype=float32), 'Mean Episode Length': Array(44.131176, dtype=float32)} step=1484800
{'Mean Episode Return': Array(18.704037, dtype=float32), 'Mean Episode Length': Array(44.70884, dtype=float32)} step=1536000
{'Mean Episode Return': Array(18.924667, dtype=float32), 'Mean Episode Length': Array(44.587875, dtype=float32)} step=1587200
{'Mean Episode Return': Array(19.112144, dtype=float32), 'Mean Episode Length': Array(45.09414, dtype=float32)} step=1638400
{'Mean Episode Return': Array(19.237906, dtype=float32), 'Mean Episode Length': Array(45.116653, dtype=float32)} step=1689600
{'Mean Episode Return': Array(19.55873, dtype=float32), 'Mean Episode Length': Array(45.60858, dtype=float32)} step=1740800
{'Mean Episode Return': Array(19.670551, dtype=float32), 'Mean Episode Length': Array(46.48219, dtype=float32)} step=1792000
{'Mean Episode Return': Array(19.718021, dtype=float32), 'Mean Episode Length': Array(46.431778, dtype=float32)} step=1843200
{'Mean Episode Return': Array(19.980658, dtype=float32), 'Mean Episode Length': Array(46.26208, dtype=float32)} step=1894400
{'Mean Episode Return': Array(20.175087, dtype=float32), 'Mean Episode Length': Array(46.354984, dtype=float32)} step=1945600
{'Mean Episode Return': Array(20.249598, dtype=float32), 'Mean Episode Length': Array(46.563896, dtype=float32)} step=1996800
{'Mean Episode Return': Array(20.44741, dtype=float32), 'Mean Episode Length': Array(46.58076, dtype=float32)} step=2048000
{'Mean Episode Return': Array(20.761837, dtype=float32), 'Mean Episode Length': Array(47.11694, dtype=float32)} step=2099200
{'Mean Episode Return': Array(20.810312, dtype=float32), 'Mean Episode Length': Array(47.71442, dtype=float32)} step=2150400
{'Mean Episode Return': Array(21.024225, dtype=float32), 'Mean Episode Length': Array(48.410545, dtype=float32)} step=2201600
{'Mean Episode Return': Array(21.117527, dtype=float32), 'Mean Episode Length': Array(47.903286, dtype=float32)} step=2252800
{'Mean Episode Return': Array(21.54344, dtype=float32), 'Mean Episode Length': Array(49.038273, dtype=float32)} step=2304000
{'Mean Episode Return': Array(21.7951, dtype=float32), 'Mean Episode Length': Array(49.24976, dtype=float32)} step=2355200
{'Mean Episode Return': Array(22.022703, dtype=float32), 'Mean Episode Length': Array(49.7714, dtype=float32)} step=2406400
{'Mean Episode Return': Array(22.09892, dtype=float32), 'Mean Episode Length': Array(50.408367, dtype=float32)} step=2457600
{'Mean Episode Return': Array(22.211147, dtype=float32), 'Mean Episode Length': Array(50.86573, dtype=float32)} step=2508800
{'Mean Episode Return': Array(22.687752, dtype=float32), 'Mean Episode Length': Array(50.245613, dtype=float32)} step=2560000
{'Mean Episode Return': Array(22.765972, dtype=float32), 'Mean Episode Length': Array(50.452335, dtype=float32)} step=2611200
{'Mean Episode Return': Array(23.145954, dtype=float32), 'Mean Episode Length': Array(51.93217, dtype=float32)} step=2662400
{'Mean Episode Return': Array(23.436016, dtype=float32), 'Mean Episode Length': Array(51.81846, dtype=float32)} step=2713600
{'Mean Episode Return': Array(23.480047, dtype=float32), 'Mean Episode Length': Array(52.15098, dtype=float32)} step=2764800
{'Mean Episode Return': Array(24.107594, dtype=float32), 'Mean Episode Length': Array(53.13835, dtype=float32)} step=2816000
{'Mean Episode Return': Array(24.187166, dtype=float32), 'Mean Episode Length': Array(53.077324, dtype=float32)} step=2867200
{'Mean Episode Return': Array(24.479168, dtype=float32), 'Mean Episode Length': Array(54.13067, dtype=float32)} step=2918400
{'Mean Episode Return': Array(25.261757, dtype=float32), 'Mean Episode Length': Array(55.073063, dtype=float32)} step=2969600
{'Mean Episode Return': Array(25.288958, dtype=float32), 'Mean Episode Length': Array(55.197468, dtype=float32)} step=3020800
{'Mean Episode Return': Array(25.43772, dtype=float32), 'Mean Episode Length': Array(54.539562, dtype=float32)} step=3072000
{'Mean Episode Return': Array(25.835371, dtype=float32), 'Mean Episode Length': Array(56.76407, dtype=float32)} step=3123200
{'Mean Episode Return': Array(25.582048, dtype=float32), 'Mean Episode Length': Array(55.84719, dtype=float32)} step=3174400
{'Mean Episode Return': Array(25.720825, dtype=float32), 'Mean Episode Length': Array(56.351955, dtype=float32)} step=3225600
{'Mean Episode Return': Array(26.075264, dtype=float32), 'Mean Episode Length': Array(56.505344, dtype=float32)} step=3276800
{'Mean Episode Return': Array(26.158499, dtype=float32), 'Mean Episode Length': Array(55.40591, dtype=float32)} step=3328000
