{'Mean Episode Return': Array(15.858234, dtype=float32), 'Mean Episode Length': Array(62.998795, dtype=float32)} step=1945600
{'Mean Episode Return': Array(15.768594, dtype=float32), 'Mean Episode Length': Array(62.476757, dtype=float32)} step=1996800
{'Mean Episode Return': Array(16.125734, dtype=float32), 'Mean Episode Length': Array(62.10207, dtype=float32)} step=2048000
{'Mean Episode Return': Array(15.797756, dtype=float32), 'Mean Episode Length': Array(61.451412, dtype=float32)} step=2099200
{'Mean Episode Return': Array(16.316416, dtype=float32), 'Mean Episode Length': Array(63.75062, dtype=float32)} step=2150400
{'Mean Episode Return': Array(16.41799, dtype=float32), 'Mean Episode Length': Array(63.447533, dtype=float32)} step=2201600
{'Mean Episode Return': Array(16.871284, dtype=float32), 'Mean Episode Length': Array(64.25061, dtype=float32)} step=2252800
{'Mean Episode Return': Array(16.730396, dtype=float32), 'Mean Episode Length': Array(63.851944, dtype=float32)} step=2304000
{'Mean Episode Return': Array(16.472124, dtype=float32), 'Mean Episode Length': Array(63.009987, dtype=float32)} step=2355200
{'Mean Episode Return': Array(16.949192, dtype=float32), 'Mean Episode Length': Array(64.495705, dtype=float32)} step=2406400
{'Mean Episode Return': Array(16.329607, dtype=float32), 'Mean Episode Length': Array(61.864803, dtype=float32)} step=2457600
{'Mean Episode Return': Array(16.882708, dtype=float32), 'Mean Episode Length': Array(63.41484, dtype=float32)} step=2508800
{'Mean Episode Return': Array(16.80776, dtype=float32), 'Mean Episode Length': Array(62.42623, dtype=float32)} step=2560000
{'Mean Episode Return': Array(17.291582, dtype=float32), 'Mean Episode Length': Array(63.391678, dtype=float32)} step=2611200
{'Mean Episode Return': Array(16.897535, dtype=float32), 'Mean Episode Length': Array(61.86277, dtype=float32)} step=2662400
{'Mean Episode Return': Array(17.197927, dtype=float32), 'Mean Episode Length': Array(62.55868, dtype=float32)} step=2713600
{'Mean Episode Return': Array(17.00614, dtype=float32), 'Mean Episode Length': Array(62.55076, dtype=float32)} step=2764800
{'Mean Episode Return': Array(17.890867, dtype=float32), 'Mean Episode Length': Array(63.795, dtype=float32)} step=2816000
{'Mean Episode Return': Array(17.627178, dtype=float32), 'Mean Episode Length': Array(63.75307, dtype=float32)} step=2867200
{'Mean Episode Return': Array(17.265606, dtype=float32), 'Mean Episode Length': Array(62.402397, dtype=float32)} step=2918400
{'Mean Episode Return': Array(17.373589, dtype=float32), 'Mean Episode Length': Array(62.596535, dtype=float32)} step=2969600
{'Mean Episode Return': Array(17.473644, dtype=float32), 'Mean Episode Length': Array(61.650486, dtype=float32)} step=3020800
{'Mean Episode Return': Array(17.484211, dtype=float32), 'Mean Episode Length': Array(61.961773, dtype=float32)} step=3072000
{'Mean Episode Return': Array(17.716629, dtype=float32), 'Mean Episode Length': Array(63.316235, dtype=float32)} step=3123200
{'Mean Episode Return': Array(17.64393, dtype=float32), 'Mean Episode Length': Array(63.71231, dtype=float32)} step=3174400
{'Mean Episode Return': Array(18.18552, dtype=float32), 'Mean Episode Length': Array(64.65912, dtype=float32)} step=3225600
{'Mean Episode Return': Array(18.02034, dtype=float32), 'Mean Episode Length': Array(62.76601, dtype=float32)} step=3276800
{'Mean Episode Return': Array(18.653585, dtype=float32), 'Mean Episode Length': Array(65.50308, dtype=float32)} step=3328000
{'Mean Episode Return': Array(18.03476, dtype=float32), 'Mean Episode Length': Array(63.713196, dtype=float32)} step=3379200
{'Mean Episode Return': Array(18.525455, dtype=float32), 'Mean Episode Length': Array(64.174995, dtype=float32)} step=3430400
{'Mean Episode Return': Array(17.88075, dtype=float32), 'Mean Episode Length': Array(62.52575, dtype=float32)} step=3481600
{'Mean Episode Return': Array(17.675404, dtype=float32), 'Mean Episode Length': Array(62.3655, dtype=float32)} step=3532800
{'Mean Episode Return': Array(17.984795, dtype=float32), 'Mean Episode Length': Array(62.31955, dtype=float32)} step=3584000
{'Mean Episode Return': Array(18.262644, dtype=float32), 'Mean Episode Length': Array(62.912075, dtype=float32)} step=3635200
{'Mean Episode Return': Array(17.897213, dtype=float32), 'Mean Episode Length': Array(61.23048, dtype=float32)} step=3686400
{'Mean Episode Return': Array(18.645815, dtype=float32), 'Mean Episode Length': Array(63.78922, dtype=float32)} step=3737600
{'Mean Episode Return': Array(18.980398, dtype=float32), 'Mean Episode Length': Array(63.63329, dtype=float32)} step=3788800
{'Mean Episode Return': Array(19.010635, dtype=float32), 'Mean Episode Length': Array(64.70338, dtype=float32)} step=3840000
{'Mean Episode Return': Array(19.029644, dtype=float32), 'Mean Episode Length': Array(63.77914, dtype=float32)} step=3891200
{'Mean Episode Return': Array(18.599295, dtype=float32), 'Mean Episode Length': Array(62.69498, dtype=float32)} step=3942400
{'Mean Episode Return': Array(18.49686, dtype=float32), 'Mean Episode Length': Array(62.510666, dtype=float32)} step=3993600
{'Mean Episode Return': Array(19.117619, dtype=float32), 'Mean Episode Length': Array(64.62228, dtype=float32)} step=4044800
{'Mean Episode Return': Array(19.332464, dtype=float32), 'Mean Episode Length': Array(64.18372, dtype=float32)} step=4096000
{'Mean Episode Return': Array(18.902649, dtype=float32), 'Mean Episode Length': Array(63.59596, dtype=float32)} step=4147200
{'Mean Episode Return': Array(19.618065, dtype=float32), 'Mean Episode Length': Array(64.32791, dtype=float32)} step=4198400
{'Mean Episode Return': Array(19.1881, dtype=float32), 'Mean Episode Length': Array(63.73902, dtype=float32)} step=4249600
{'Mean Episode Return': Array(19.675875, dtype=float32), 'Mean Episode Length': Array(64.78422, dtype=float32)} step=4300800
{'Mean Episode Return': Array(19.477835, dtype=float32), 'Mean Episode Length': Array(64.88598, dtype=float32)} step=4352000
{'Mean Episode Return': Array(19.477732, dtype=float32), 'Mean Episode Length': Array(64.720406, dtype=float32)} step=4403200
{'Mean Episode Return': Array(19.880346, dtype=float32), 'Mean Episode Length': Array(64.76806, dtype=float32)} step=4454400
{'Mean Episode Return': Array(19.73885, dtype=float32), 'Mean Episode Length': Array(64.03818, dtype=float32)} step=4505600
{'Mean Episode Return': Array(20.190502, dtype=float32), 'Mean Episode Length': Array(65.65658, dtype=float32)} step=4556800
{'Mean Episode Return': Array(19.731665, dtype=float32), 'Mean Episode Length': Array(65.64103, dtype=float32)} step=4608000
{'Mean Episode Return': Array(19.83528, dtype=float32), 'Mean Episode Length': Array(65.05064, dtype=float32)} step=4659200
{'Mean Episode Return': Array(19.894289, dtype=float32), 'Mean Episode Length': Array(64.75158, dtype=float32)} step=4710400
{'Mean Episode Return': Array(19.958435, dtype=float32), 'Mean Episode Length': Array(65.05598, dtype=float32)} step=4761600
{'Mean Episode Return': Array(20.207085, dtype=float32), 'Mean Episode Length': Array(66.01989, dtype=float32)} step=4812800
{'Mean Episode Return': Array(20.100998, dtype=float32), 'Mean Episode Length': Array(66.36788, dtype=float32)} step=4864000
{'Mean Episode Return': Array(20.183895, dtype=float32), 'Mean Episode Length': Array(65.18306, dtype=float32)} step=4915200
{'Mean Episode Return': Array(19.782913, dtype=float32), 'Mean Episode Length': Array(64.41375, dtype=float32)} step=4966400
{'Mean Episode Return': Array(19.94392, dtype=float32), 'Mean Episode Length': Array(64.93402, dtype=float32)} step=5017600
{'Mean Episode Return': Array(20.917664, dtype=float32), 'Mean Episode Length': Array(66.65464, dtype=float32)} step=5068800
{'Mean Episode Return': Array(20.957493, dtype=float32), 'Mean Episode Length': Array(65.48334, dtype=float32)} step=5120000
{'Mean Episode Return': Array(20.109459, dtype=float32), 'Mean Episode Length': Array(65.29923, dtype=float32)} step=5171200
{'Mean Episode Return': Array(20.75672, dtype=float32), 'Mean Episode Length': Array(66.70337, dtype=float32)} step=5222400
{'Mean Episode Return': Array(20.540453, dtype=float32), 'Mean Episode Length': Array(66.83466, dtype=float32)} step=5273600
{'Mean Episode Return': Array(20.767202, dtype=float32), 'Mean Episode Length': Array(66.05685, dtype=float32)} step=5324800
{'Mean Episode Return': Array(21.092455, dtype=float32), 'Mean Episode Length': Array(66.695, dtype=float32)} step=5376000
{'Mean Episode Return': Array(20.058947, dtype=float32), 'Mean Episode Length': Array(64.62926, dtype=float32)} step=5427200
{'Mean Episode Return': Array(20.395185, dtype=float32), 'Mean Episode Length': Array(65.6, dtype=float32)} step=5478400
{'Mean Episode Return': Array(19.851799, dtype=float32), 'Mean Episode Length': Array(64.241875, dtype=float32)} step=5529600
{'Mean Episode Return': Array(20.947052, dtype=float32), 'Mean Episode Length': Array(67.107, dtype=float32)} step=5580800
{'Mean Episode Return': Array(21.906872, dtype=float32), 'Mean Episode Length': Array(68.08145, dtype=float32)} step=5632000
{'Mean Episode Return': Array(20.226362, dtype=float32), 'Mean Episode Length': Array(64.80977, dtype=float32)} step=5683200
{'Mean Episode Return': Array(20.37962, dtype=float32), 'Mean Episode Length': Array(65.75066, dtype=float32)} step=5734400
{'Mean Episode Return': Array(20.220026, dtype=float32), 'Mean Episode Length': Array(65.46383, dtype=float32)} step=5785600
{'Mean Episode Return': Array(20.763561, dtype=float32), 'Mean Episode Length': Array(67.299484, dtype=float32)} step=5836800
{'Mean Episode Return': Array(20.655088, dtype=float32), 'Mean Episode Length': Array(66.59546, dtype=float32)} step=5888000
{'Mean Episode Return': Array(21.00798, dtype=float32), 'Mean Episode Length': Array(67.194626, dtype=float32)} step=5939200
{'Mean Episode Return': Array(20.817554, dtype=float32), 'Mean Episode Length': Array(66.683945, dtype=float32)} step=5990400
{'Mean Episode Return': Array(20.877275, dtype=float32), 'Mean Episode Length': Array(66.54509, dtype=float32)} step=6041600
{'Mean Episode Return': Array(21.474478, dtype=float32), 'Mean Episode Length': Array(67.998695, dtype=float32)} step=6092800
{'Mean Episode Return': Array(20.684416, dtype=float32), 'Mean Episode Length': Array(66.77988, dtype=float32)} step=6144000
{'Mean Episode Return': Array(20.658247, dtype=float32), 'Mean Episode Length': Array(65.176315, dtype=float32)} step=6195200
{'Mean Episode Return': Array(20.713596, dtype=float32), 'Mean Episode Length': Array(65.60158, dtype=float32)} step=6246400
{'Mean Episode Return': Array(21.64403, dtype=float32), 'Mean Episode Length': Array(68.18873, dtype=float32)} step=6297600
{'Mean Episode Return': Array(21.423504, dtype=float32), 'Mean Episode Length': Array(67.93693, dtype=float32)} step=6348800
{'Mean Episode Return': Array(20.897934, dtype=float32), 'Mean Episode Length': Array(66.15183, dtype=float32)} step=6400000
{'Mean Episode Return': Array(21.412363, dtype=float32), 'Mean Episode Length': Array(66.69897, dtype=float32)} step=6451200
{'Mean Episode Return': Array(20.92028, dtype=float32), 'Mean Episode Length': Array(67.458115, dtype=float32)} step=6502400
{'Mean Episode Return': Array(21.558832, dtype=float32), 'Mean Episode Length': Array(68.077126, dtype=float32)} step=6553600
{'Mean Episode Return': Array(21.032389, dtype=float32), 'Mean Episode Length': Array(65.57162, dtype=float32)} step=6604800
{'Mean Episode Return': Array(21.226887, dtype=float32), 'Mean Episode Length': Array(67.52449, dtype=float32)} step=6656000
{'Mean Episode Return': Array(20.4423, dtype=float32), 'Mean Episode Length': Array(65.64168, dtype=float32)} step=6707200
{'Mean Episode Return': Array(20.896412, dtype=float32), 'Mean Episode Length': Array(66.13003, dtype=float32)} step=6758400
{'Mean Episode Return': Array(21.548397, dtype=float32), 'Mean Episode Length': Array(67.41818, dtype=float32)} step=6809600
{'Mean Episode Return': Array(21.21451, dtype=float32), 'Mean Episode Length': Array(67.32405, dtype=float32)} step=6860800
{'Mean Episode Return': Array(20.51667, dtype=float32), 'Mean Episode Length': Array(65.225555, dtype=float32)} step=6912000
{'Mean Episode Return': Array(20.757074, dtype=float32), 'Mean Episode Length': Array(66.55065, dtype=float32)} step=6963200
{'Mean Episode Return': Array(21.39554, dtype=float32), 'Mean Episode Length': Array(66.92935, dtype=float32)} step=7014400
{'Mean Episode Return': Array(21.254915, dtype=float32), 'Mean Episode Length': Array(67.775276, dtype=float32)} step=7065600
{'Mean Episode Return': Array(21.00664, dtype=float32), 'Mean Episode Length': Array(64.426315, dtype=float32)} step=7116800
{'Mean Episode Return': Array(21.066065, dtype=float32), 'Mean Episode Length': Array(66.6188, dtype=float32)} step=7168000
{'Mean Episode Return': Array(21.136398, dtype=float32), 'Mean Episode Length': Array(66.5871, dtype=float32)} step=7219200
{'Mean Episode Return': Array(21.088089, dtype=float32), 'Mean Episode Length': Array(66.953705, dtype=float32)} step=7270400
{'Mean Episode Return': Array(21.248787, dtype=float32), 'Mean Episode Length': Array(66.21162, dtype=float32)} step=7321600
{'Mean Episode Return': Array(21.63676, dtype=float32), 'Mean Episode Length': Array(68.06896, dtype=float32)} step=7372800
{'Mean Episode Return': Array(21.360043, dtype=float32), 'Mean Episode Length': Array(67.29935, dtype=float32)} step=7424000
{'Mean Episode Return': Array(20.462296, dtype=float32), 'Mean Episode Length': Array(66.38351, dtype=float32)} step=7475200
{'Mean Episode Return': Array(21.404564, dtype=float32), 'Mean Episode Length': Array(67.26692, dtype=float32)} step=7526400
{'Mean Episode Return': Array(20.705854, dtype=float32), 'Mean Episode Length': Array(66.24048, dtype=float32)} step=7577600
{'Mean Episode Return': Array(21.546091, dtype=float32), 'Mean Episode Length': Array(67.94717, dtype=float32)} step=7628800
{'Mean Episode Return': Array(21.0755, dtype=float32), 'Mean Episode Length': Array(65.464714, dtype=float32)} step=7680000
{'Mean Episode Return': Array(21.347996, dtype=float32), 'Mean Episode Length': Array(67.567856, dtype=float32)} step=7731200
{'Mean Episode Return': Array(21.397474, dtype=float32), 'Mean Episode Length': Array(67.61404, dtype=float32)} step=7782400
{'Mean Episode Return': Array(21.566105, dtype=float32), 'Mean Episode Length': Array(68.62114, dtype=float32)} step=7833600
{'Mean Episode Return': Array(20.834402, dtype=float32), 'Mean Episode Length': Array(66.191216, dtype=float32)} step=7884800
{'Mean Episode Return': Array(21.060734, dtype=float32), 'Mean Episode Length': Array(66.27792, dtype=float32)} step=7936000
{'Mean Episode Return': Array(21.35625, dtype=float32), 'Mean Episode Length': Array(67.82984, dtype=float32)} step=7987200
{'Mean Episode Return': Array(21.01804, dtype=float32), 'Mean Episode Length': Array(66.4345, dtype=float32)} step=8038400
{'Mean Episode Return': Array(20.972013, dtype=float32), 'Mean Episode Length': Array(66.23159, dtype=float32)} step=8089600
{'Mean Episode Return': Array(22.213345, dtype=float32), 'Mean Episode Length': Array(69.04994, dtype=float32)} step=8140800
{'Mean Episode Return': Array(21.499517, dtype=float32), 'Mean Episode Length': Array(67.62207, dtype=float32)} step=8192000
{'Mean Episode Return': Array(21.694197, dtype=float32), 'Mean Episode Length': Array(69.52151, dtype=float32)} step=8243200
{'Mean Episode Return': Array(21.851307, dtype=float32), 'Mean Episode Length': Array(69.90177, dtype=float32)} step=8294400
{'Mean Episode Return': Array(21.577229, dtype=float32), 'Mean Episode Length': Array(69.6919, dtype=float32)} step=8345600
{'Mean Episode Return': Array(21.582193, dtype=float32), 'Mean Episode Length': Array(68.44027, dtype=float32)} step=8396800
{'Mean Episode Return': Array(21.540344, dtype=float32), 'Mean Episode Length': Array(69.047424, dtype=float32)} step=8448000
{'Mean Episode Return': Array(21.269222, dtype=float32), 'Mean Episode Length': Array(67.9918, dtype=float32)} step=8499200
{'Mean Episode Return': Array(21.678751, dtype=float32), 'Mean Episode Length': Array(69.28022, dtype=float32)} step=8550400
{'Mean Episode Return': Array(22.449245, dtype=float32), 'Mean Episode Length': Array(70.42516, dtype=float32)} step=8601600
{'Mean Episode Return': Array(21.70277, dtype=float32), 'Mean Episode Length': Array(68.57673, dtype=float32)} step=8652800
{'Mean Episode Return': Array(20.766745, dtype=float32), 'Mean Episode Length': Array(66.4903, dtype=float32)} step=8704000
{'Mean Episode Return': Array(21.698078, dtype=float32), 'Mean Episode Length': Array(69.15263, dtype=float32)} step=8755200
{'Mean Episode Return': Array(21.773022, dtype=float32), 'Mean Episode Length': Array(68.69973, dtype=float32)} step=8806400
{'Mean Episode Return': Array(21.610062, dtype=float32), 'Mean Episode Length': Array(68.38472, dtype=float32)} step=8857600
{'Mean Episode Return': Array(21.309893, dtype=float32), 'Mean Episode Length': Array(68.5925, dtype=float32)} step=8908800
{'Mean Episode Return': Array(21.24822, dtype=float32), 'Mean Episode Length': Array(67.88845, dtype=float32)} step=8960000
{'Mean Episode Return': Array(21.57683, dtype=float32), 'Mean Episode Length': Array(69.169716, dtype=float32)} step=9011200
{'Mean Episode Return': Array(21.375633, dtype=float32), 'Mean Episode Length': Array(67.28745, dtype=float32)} step=9062400
{'Mean Episode Return': Array(21.84807, dtype=float32), 'Mean Episode Length': Array(68.853355, dtype=float32)} step=9113600
{'Mean Episode Return': Array(22.384724, dtype=float32), 'Mean Episode Length': Array(69.93867, dtype=float32)} step=9164800
{'Mean Episode Return': Array(21.496763, dtype=float32), 'Mean Episode Length': Array(66.86533, dtype=float32)} step=9216000
{'Mean Episode Return': Array(22.010445, dtype=float32), 'Mean Episode Length': Array(70.133606, dtype=float32)} step=9267200
{'Mean Episode Return': Array(21.727371, dtype=float32), 'Mean Episode Length': Array(68.96487, dtype=float32)} step=9318400
{'Mean Episode Return': Array(21.959152, dtype=float32), 'Mean Episode Length': Array(69.33469, dtype=float32)} step=9369600
{'Mean Episode Return': Array(22.212454, dtype=float32), 'Mean Episode Length': Array(69.05921, dtype=float32)} step=9420800
{'Mean Episode Return': Array(21.489103, dtype=float32), 'Mean Episode Length': Array(67.6, dtype=float32)} step=9472000
{'Mean Episode Return': Array(21.627472, dtype=float32), 'Mean Episode Length': Array(69.27346, dtype=float32)} step=9523200
{'Mean Episode Return': Array(21.790085, dtype=float32), 'Mean Episode Length': Array(68.0144, dtype=float32)} step=9574400
{'Mean Episode Return': Array(21.47207, dtype=float32), 'Mean Episode Length': Array(68.40466, dtype=float32)} step=9625600
{'Mean Episode Return': Array(22.217445, dtype=float32), 'Mean Episode Length': Array(69.64181, dtype=float32)} step=9676800
{'Mean Episode Return': Array(21.21243, dtype=float32), 'Mean Episode Length': Array(66.83311, dtype=float32)} step=9728000
{'Mean Episode Return': Array(22.67807, dtype=float32), 'Mean Episode Length': Array(69.47663, dtype=float32)} step=9779200
{'Mean Episode Return': Array(22.193188, dtype=float32), 'Mean Episode Length': Array(69.55145, dtype=float32)} step=9830400
{'Mean Episode Return': Array(21.976025, dtype=float32), 'Mean Episode Length': Array(67.899864, dtype=float32)} step=9881600
{'Mean Episode Return': Array(22.312677, dtype=float32), 'Mean Episode Length': Array(69.73699, dtype=float32)} step=9932800
{'Mean Episode Return': Array(22.478687, dtype=float32), 'Mean Episode Length': Array(69.864716, dtype=float32)} step=9984000
{'Mean Episode Return': Array(22.251337, dtype=float32), 'Mean Episode Length': Array(70.67391, dtype=float32)} step=10035200
{'Mean Episode Return': Array(21.496355, dtype=float32), 'Mean Episode Length': Array(69.29388, dtype=float32)} step=10086400
{'Mean Episode Return': Array(22.382782, dtype=float32), 'Mean Episode Length': Array(69.691055, dtype=float32)} step=10137600
{'Mean Episode Return': Array(22.404827, dtype=float32), 'Mean Episode Length': Array(70.508064, dtype=float32)} step=10188800
{'Mean Episode Return': Array(21.81947, dtype=float32), 'Mean Episode Length': Array(68.72861, dtype=float32)} step=10240000
{'Mean Episode Return': Array(21.502686, dtype=float32), 'Mean Episode Length': Array(67.808426, dtype=float32)} step=10291200
{'Mean Episode Return': Array(22.077314, dtype=float32), 'Mean Episode Length': Array(69.196785, dtype=float32)} step=10342400
